3:13 AM - 7 Dec 2015|Congrats @iamsrk 2015 Golden Tweet #YearOnTwitter India 18 million views Twitter https twitter com iamsrk status 589164454480191488|2.8K|3.7K
3:11 PM - 10 Dec 2015|Full Dilwale Poster @iamsrk #Kajol @Varun_dvn @kritisanon #Dilwale18Dec 7 Days For Dilwale Next FRIDAY pic twitter com qPLgVJFIQD|20|16
5:44 PM - 10 Dec 2015|7 Days For Dilwale https twitter com sunnymalik status 675111508808986626|71|52
2:13 PM - 10 Dec 2015|The SRK Film Festival @_PVRCinemas Watch SRK meet @iamsrk 7 Days For Dilwale http www pvrcinemas com nowshowing Mumbai pic twitter com zuTBO4yMx7|15|13
5:00 PM - 10 Dec 2015|Keep tweeting Keep promoting ur best kyonki #Dilwale jaise koi nhi @iamsrk @SRKUniverse 7 Days For Dilwale|2|0
5:48 PM - 10 Dec 2015|If someone strong enough bring show you're strong enough get back 7 Days Dilwale pic twitter com aIH8efP6Aw|3|2
7:36 PM - 10 Dec 2015|SRK On The Set Of CID Episode Will Aired Next Week 7 Days For Dilwale pic twitter com c9RLnGfzSC|39|27
8:03 PM - 10 Dec 2015|Veer Zaara songs music still replacement 7 Days For Dilwale|4|2
8:00 PM - 10 Dec 2015|EPIC Dilwale Trailer crossed 18M Views YT Keep Watching 7 Days For Dilwale https youtu AHuOo1DLcRc pic twitter com EPsdm6l3l7|31|33
8:03 PM - 10 Dec 2015|18 Million Views Completed On Dilwale Trailer 7 Days For Dilwale|13|7
8:13 PM - 10 Dec 2015|Story GERUA song happened DILWALE PRITAM @ipritamofficial @iamsrk 7 Days For Dilwale @MandviSharma https youtu leP2JLwZN0M|6|3
8:15 PM - 10 Dec 2015|Shah Rukh Khan address alumni IIM Bangalore http srkuniverse com forum topic shah-rukh-khan-to-address-alumni-of-iim-bangalore 7 Days For Dilwale pic twitter com nUgaEHlSfp|24|10
8:39 PM - 10 Dec 2015|The Importance Being Shah Rukh Khan via @firstpost http www firstpost com bollywood the-importance-of-being-shah-rukh-khan-baadshah-of-bollywood-tops-the-2015-forbes-india-celebrity-100-list-2540832 html 7 Days For Dilwale pic twitter com MSPULyD4jl|20|13
8:53 PM - 10 Dec 2015|We trend 7 Days For Dilwale|2|0
8:54 PM - 10 Dec 2015|7 Days For Dilwale RT u using ur tweets|11|1
8:55 PM - 10 Dec 2015|BOYCOTT BJP BHAKTS Chutiya BJP aur unke Followers 7 Days For Dilwale|4|0
8:55 PM - 10 Dec 2015|Inn 7 dino mein seeti bajana seekhna hai anyhow - - 7 Days For Dilwale|3|0
8:55 PM - 10 Dec 2015|Next friday time I seating theater 70-80 srkians n shouting SHAHRUKH SHAHRUKH SHAHRUKH SHAHRUKH 7 Days For Dilwale|15|5
8:55 PM - 10 Dec 2015|WE WILL TREND A NEGATIVE TREND EVERYDAY IN FEBRUARY EVERYDAY NOW WE PEOPLE ARE BUSY TRENDING WITH DILWALE 7 Days For Dilwale|5|0
8:56 PM - 10 Dec 2015|Today @iamsrk movies @chennaiexp2013-8 pm-zee cinema n zee cinema HD @hny-8 pm- pictures main hoon na-8 pm-movies ok 7 Days For Dilwale|11|1
10:22 AM - 10 Dec 2015|New Trailer Dilwale reveal story line SRK REPRESENTS INDIA Dilwale New Trailer pic twitter com bZxz9nodWM|43|39
10:34 AM - 10 Dec 2015|I can't believe wait finally 7 Days left For Dilwale Hell excited SRK REPRESENTS INDIA|12|7
10:40 AM - 10 Dec 2015|@10hottkaran Exactly Only SRK Matters SRK REPRESENTS INDIA|4|2
10:40 AM - 10 Dec 2015|In 2004 SRK selected one twenty Asian Heroes age 40 Time Magazine SRK REPRESENTS INDIA|4|1
10:41 AM - 10 Dec 2015|RT Spread Let The World Knows Again Again The Only Superstar SRK REPRESENTS INDIA|12|6
10:48 AM - 10 Dec 2015|SRK REPRESENTS INDIA https twitter com SRKsChampion status 675022106476847104|5|1
11:07 AM - 10 Dec 2015|@PreetiSRKian12 telling I tweeting like SRK REPRESENTS INDIA|2|0
11:10 AM - 10 Dec 2015|Shah Rukh Khan lights seven Orissa villages SRK REPRESENTS INDIA pic twitter com gHFAc5RoaZ|33|18
11:28 AM - 10 Dec 2015|Other actor's fans claps whistles SHAH RUKH KHAN FANS ROARRR SRK REPRESENTS INDIA|6|4
11:31 AM - 10 Dec 2015|SRK REPRESENTS ND A @iamsrk 7 days dilwale pic twitter com fEJhVQwlmt|4|2
11:31 AM - 10 Dec 2015|#ShahRukhKhan Yale University Chubb Fellow https youtu q0OaOnT8res SRK REPRESENTS INDIA|3|0
11:31 AM - 10 Dec 2015|Reports saying #Dilwale 2nd Trailer kickass action another level Picture aaj aayegi bm wlo 12 bje SRK REPRESENTS INDIA|3|1
10:46 AM - 10 Dec 2015|My secret 101 Being human cover last ball pe agar aap ko ek run chahiye Hit Run|1|0
9:43 AM - 10 Dec 2015|#Dilwale @iamsrk Signature Step @Varun_dvn @kritisanon @varunsharma90 @bharti_lalli @Krushna_KAS @ColorsTV #CNB pic twitter com If9PAh6vg8|87|136
9:31 AM - 10 Dec 2015|SRK REPRESENTS INDIA|1|0
7:46 AM - 10 Dec 2015|From morning untill Morning Busy busy Busy -_- SRK REPRESENTS INDIA #8DaysForDilwale|4|1
8:02 AM - 10 Dec 2015|The ever-so young Shah Rukh Khan #8DaysForDilwale pic twitter com xsGy04SEd3|138|135
8:06 AM - 10 Dec 2015|Have already booked Tickets Dilwale 7 January 2016 #8DaysForDilwale pic twitter com ml6Z57Woup|4|2
8:52 AM - 10 Dec 2015|19th december come fast SRK REPRESENTS INDIA pic twitter com W5bxCpKLN4|58|45
8:54 AM - 10 Dec 2015|When SRK REPRESENTS INDIA Already In The Trendlist At TOP position Why U Using The Other Tag Kab Tum Log Khud Ka Dimaag Use Karoge|11|3
8:20 AM - 10 Dec 2015|Only SRK matters SRK REPRESENTS INDIA|5|1
11:51 PM - 16 Nov 2015|@SRKswarrior1 @aamir_khan SRK represents India many foreign countries #GeruaTomorrow|9|3
5:52 AM - 10 Dec 2015|SRK REPRESENTS INDIA john abraham talking SRK @iamsrk One must watch videos|8|1
5:52 AM - 10 Dec 2015|There's personal there's actor there's star '' - @iamsrk SRK REPRESENTS INDIA|32|9
5:56 AM - 10 Dec 2015|I love recognized I love people liking I love fact people scream I go '' - @iamsrk SRK REPRESENTS INDIA|14|4
5:57 AM - 10 Dec 2015|@sadi1432 haan n trend SRK REPRESENTS INDIA|2|0
5:57 AM - 10 Dec 2015|Love SRK REPRESENTS INDIA|3|0
5:58 AM - 10 Dec 2015|SRK REPRESENTS INDIA @iamsrk looked handsome uniform Veer Zaara pic twitter com mhAC6XhOvH|19|6
6:02 AM - 10 Dec 2015|Success failure part life Both permanent - @iamSRK SRK REPRESENTS INDIA|31|4
6:05 AM - 10 Dec 2015|I Truly Believe My Job Is To Make People Smile - @iamsrk SRK REPRESENTS INDIA|23|6
6:36 AM - 10 Dec 2015|@iamsrk Ure The Reason That An Ordinary Person Like Me Make It Into The Twitter Trendlist SRK REPRESENTS INDIA https twitter com Trendsmap1ndia status 674959905137270784|19|5
8:22 AM - 10 Dec 2015|ONCE U R @iamsrk FAN U ll See His Name Clouds Write name sand like D SRK REPRESENTS INDIA pic twitter com svREfWuF1r|25|23
8:28 AM - 10 Dec 2015|FAN world 1st Film shoot Madam Tussaud's Museum N 1st use face changing VFX Hollywood failed thrice SRK REPRESENTS INDIA|78|29
8:38 AM - 10 Dec 2015|Dilwale Boxoffice collections matters After release SRK KAJOL Bhakts Bhaitards Bhansaali Always LOVE HATE SRK REPRESENTS INDIA|9|2
8:40 AM - 10 Dec 2015|Without A Single Movie This Year SRK Tops The Forbes List Ab v Kuch Kahna Bacha H SRK REPRESENTS INDIA|19|11
12:28 AM - 10 Dec 2015|In loving memory late Ravindra Patil #SalmanVerdict pic twitter com FNcFZ31fWN|89|46
1:20 AM - 10 Dec 2015|Which done night https twitter com DeShobhaa status 674870102215499776|106|96
11:38 PM - 9 Dec 2015|#SalmanVerdict HC Hypothesis investigation done way loose ends kept favour accused|10|3
11:38 PM - 9 Dec 2015|Somehow I surprised #SalmanVerdict Rich rarely get prosecuted real life But it's sad situation judicially socially|2|1
1:25 PM - 24 Nov 2015|Just watched Dilwale end 2 end Realised best cure life happiness laughter liberal amount tears The rest inconsequential|4.9K|9.3K
4:06 PM - 25 Nov 2015|one person followed automatically checked http fllwrs com|1|0
3:29 AM - 29 Nov 2015|Dilwale Big Boss pic twitter com K593mH5NOC|1|0
4:04 PM - 29 Nov 2015|2 people followed automatically checked http fllwrs com|1|0
7:33 AM - 9 Dec 2015|Presenting Theater list #Dilwale Kerala https www facebook com iam littlesrk posts 861973873922104|6|1
4:39 PM - 9 Dec 2015|We Are The Most Luckiest Fan Base To Have A FC Like @SRKUniverse #SRKGlobalCitizen|32|15
8:28 PM - 9 Dec 2015|Comedy nights Bachao Saturday 10PM Team Dilwale #SRKGlobalCitizen http youtu PDkkIwM0I4I|127|101
10:30 PM - 9 Dec 2015|Trend n army @iam_shehzad|1|0
10:44 PM - 9 Dec 2015|@iamsrk Slept Only 2 Hours Yst Nyt Felt Like U Exam Went Well Hard Work Paid Off Thank U For Always Being My Inspiration|3|2
10:31 PM - 9 Dec 2015|Army @iam_shehzad #SRKGlobalCitizen|3|0
10:31 PM - 9 Dec 2015|Keep tweeting #SRKGlobalCitizen|1|0
10:36 PM - 9 Dec 2015|Tweet #SRKGlobalCitizen|2|0
10:37 PM - 9 Dec 2015|U never hate man SRK #SRKGlobalCitizen|5|2
10:37 PM - 9 Dec 2015|SRK represents INDIA #SRKGlobalCitizen|15|1
10:40 PM - 9 Dec 2015|The biggest dilwala SRK #SRKGlobalCitizen|3|0
10:42 PM - 9 Dec 2015|Tweet ur tweets RT #SRKGlobalCitizen|2|0
10:43 PM - 9 Dec 2015|#SRKGlobalCitizen best patriot India pic twitter com 3U8Qjmxhe2|4|2
10:39 PM - 9 Dec 2015|Karan Arjun get back together 20 long years #BB9 #Dilwale promotion SOON ON @ColorsTV #SRKGlobalCitizen pic twitter com Ds6mBKL7pt|11|11
10:44 PM - 9 Dec 2015|The biggest dilwala arriving chriatmas #SRKGlobalCitizen|1|1
10:57 PM - 30 Nov 2015|@iamsrk U make us smile theatre #DilwaleMonth|13|9
12:43 AM - 9 Dec 2015|#Bollywood Shah Rukh Khan PWL big boost Indian wrestling http dlvr CyPh0y|6|8
10:45 PM - 9 Dec 2015|Army @iam_sanad #SRKGlobalCitizen|1|0
10:41 PM - 9 Dec 2015|Army @iam_shehzad #SRKGlobalCitizen|2|0
3:21 AM - 7 Dec 2015|#SrkDonates1crToChennai @iamsrk ur great kind #Respect uh sir For nice job|7|1
10:38 PM - 9 Dec 2015|#SRKGlobalCitizen yuppies excited #Dilwale #18December #FDFSdilwale #Aurangabad|1|0
10:40 PM - 9 Dec 2015|#SRKGlobalCitizen I excited #DilwaleFDFS Thanks #srkuniverse|1|0
10:41 PM - 9 Dec 2015|Army @iam_shehzad #SRKGlobalCitizen|1|0
11:19 AM - 9 Dec 2015|@SRKUniverse He's best He got respectful human earth He puts smile everyone's face We Love You SRK|31|16
11:48 AM - 9 Dec 2015|Jo pehle negative trend kar rahe ab kaha gaye We Love You SRK|6|1
11:44 AM - 9 Dec 2015|We Love You SRK pic twitter com 0lStV7LXt0|3|0
11:43 AM - 9 Dec 2015|Trend kyu nahi horaha We Love You SRK|2|0
11:48 AM - 9 Dec 2015|See They still didn't stop ridiculous people Shit OK ignore We Love You SRK|12|1
10:00 AM - 9 Dec 2015|Itunes Top Song - #Gerua #JanamJanam Top Album No 2 - #Dilwale Where Twitter Chartbuster #BajiraoMastani pic twitter com mV1SBbfhVr|11|4
11:43 AM - 9 Dec 2015|@iamsrk I love We Love You SRK|3|0
11:48 AM - 9 Dec 2015|We Love You SRK iiii|1|0
11:46 AM - 9 Dec 2015|@SRKCHENNAIFC We Love You SRK|4|0
11:48 AM - 9 Dec 2015|We Love You SRK hhh|1|0
11:43 AM - 9 Dec 2015|Challa ki labda phire We Love You SRK https twitter com iamafzal_ status 674672843603316736|3|0
11:42 AM - 9 Dec 2015|We Love You SRK https twitter com SRKian__ status 674675195097956352|3|0
11:48 AM - 9 Dec 2015|We Love You SRK https twitter com thesrkdevotee status 674675804782002176|2|0
11:47 AM - 9 Dec 2015|@Varun_dvn We Love You SRK|4|0
11:43 AM - 9 Dec 2015|I live fight @iamsrk sir We Love You SRK pic twitter com aW4uS40m6h|6|0
11:43 AM - 9 Dec 2015|We Love You SRK pic twitter com 51Vr75mLhE|4|1
11:41 AM - 9 Dec 2015|Its surely Worth Poke Read guys We Love You SRK pic twitter com MUaPSaOFLx|3|2
11:47 AM - 9 Dec 2015|We Love You SRK ccc|2|0
11:41 AM - 9 Dec 2015|Y Chopra SRK Actor last 2 decades Who never asked Story n Money That's Why SRK Legend We Love You SRK|8|0
11:41 AM - 9 Dec 2015|RT If You Think SRK Pride Of INDIA @iamsrk We Love You SRK|5|0
11:16 AM - 9 Dec 2015|@iamsrk jaan sojaun na actually bcoz college ok tight warmest hugg try proper neendy see dreams We Love You SRK|6|0
11:21 AM - 9 Dec 2015|Woh sirf star nahi DUNIA HAI MERI RT think @iamsrk DUNIA We Love You SRK|2|0
11:20 AM - 9 Dec 2015|@srkuniverse yess We Love You SRK|2|0
11:02 AM - 9 Dec 2015|We Love You SRK pic twitter com ZLc8kZzevZ|4|2
11:04 AM - 9 Dec 2015|We Love SRK much ' pic twitter com ABV64jjRAE|4|0
11:05 AM - 9 Dec 2015|We Love You SRK pic twitter com UyuBUFxNMm|11|6
11:09 AM - 9 Dec 2015|We Love You SRK #SalmanKaidi343 pic twitter com kV0eKzccAY|5|1
11:15 AM - 9 Dec 2015|SRK living institution So much learn We Love You SRK|7|2
11:11 AM - 9 Dec 2015|We Love You SRK pic twitter com i7w5pXDy8p|18|9
11:11 AM - 9 Dec 2015|@iamsrk love life We Love You SRK pic twitter com c8bEqD3EZD|6|3
11:20 AM - 9 Dec 2015|@SRKUniverse SHAH RUKH KHAN WE LOVE YOU SRK|36|17
11:15 AM - 9 Dec 2015|We Love You SRK @iamsrk pic twitter com zWDEXAHtHH|5|4
11:19 AM - 9 Dec 2015|We love SRK https twitter com DrShefali23 status 674667634491699200|2|0
11:15 AM - 9 Dec 2015|We Love You SRK @iamsrk pic twitter com DcTgHKFbrP|6|0
11:15 AM - 9 Dec 2015|Sometimes completely selfless I feel @iamsrk shouldn't come Social media days full hatred Don't want face|5|0
11:06 AM - 9 Dec 2015|@iamsrk love u Farishta ' We Love You SRK pic twitter com vPOOOoTAZP|5|0
11:15 AM - 9 Dec 2015|Give us 3 reasons love SHAH RUKH KHAN RT reply using We Love You SRK pic twitter com v61hETFpRy|136|82
11:19 AM - 9 Dec 2015|@srkuniverse 1 His Golden heart 2 His Dimples 3 His cool nature Love You SRK|3|2
11:12 AM - 9 Dec 2015|Everything About U brings broad Smile On My Face We Love You SRK|4|2
11:06 AM - 9 Dec 2015|We Love You SRK pic twitter com RB7TQkowNm|7|2
11:19 AM - 9 Dec 2015|@SRKFCWorld @DrShefali23 ji re ji re ji ji re We Love You SRK|8|2
11:13 AM - 9 Dec 2015|I love smile We Love You SRK pic twitter com w3pDBVDy2i|5|5
11:10 AM - 9 Dec 2015|Now know love SRK pic twitter com 0NjVVT1SL9|7|3
11:14 AM - 9 Dec 2015|@candysamiasrk maine fan kia hua h p We Love You SRK|3|0
11:02 AM - 9 Dec 2015|We Love SRK awwwww jb dadi ko milli dilwali pappi hehe pic twitter com 2RsQobVm87|8|3
11:13 AM - 9 Dec 2015|We Love You SRK pic twitter com 7l1QH1mREj|8|1
11:19 AM - 9 Dec 2015|We love SRK https twitter com MyNameIsSneha status 674665938902380545|2|0
11:17 AM - 9 Dec 2015|RT If You Can't Wait To See This Evergreen Couple On Big Screen 18th December We Love You SRK pic twitter com TdzTA1dPle|7|1
11:19 AM - 9 Dec 2015|We love SRK https twitter com yehmehfil status 674667363057451008|5|0
11:11 AM - 9 Dec 2015|We Love You SRK pic twitter com WGGD8GFgwM|3|3
11:13 AM - 9 Dec 2015|We Love You SRK pic twitter com Sxb2oIcByt|9|2
11:07 AM - 9 Dec 2015|We Love You SRK pic twitter com oIiJDMrZ91|10|10
11:07 AM - 9 Dec 2015|Fuck You @TwitterIndia trend feature Fuck @TwitterIndia allowing anything trendlist Sorry|5|1
11:15 AM - 9 Dec 2015|SRK Fair Handsome Ad Our handsome hunk We Love You SRK @iamsrk @SRKUniverse pic twitter com 5pkJ1pA7oS|3|5
11:16 AM - 9 Dec 2015|We Love You SRK pic twitter com 1ZMG3iCsry|13|2
11:05 AM - 9 Dec 2015|We Love You SRK @iamsrk pic twitter com vxfNYMC41Z|9|2
11:15 AM - 9 Dec 2015|@SRKUniverse @iamsrk King Of The World We Love You SRK|3|2
11:13 AM - 9 Dec 2015|We Love You SRK core heart|8|1
11:14 AM - 9 Dec 2015|Veer Zaara We Love SRK https twitter com iamSRKFanLJ status 674665816114069505|5|0
11:16 AM - 9 Dec 2015|@iamsrk We Love You SRK|9|0
11:13 AM - 9 Dec 2015|Gussa thuk dosto We Love You SRK|5|0
11:13 AM - 9 Dec 2015|@iamsrk u r inspiration We Love You SRK|4|0
11:11 AM - 9 Dec 2015|We Love You SRK pic twitter com 46HY3XtGFJ|10|12
11:14 AM - 9 Dec 2015|Hey @iamsrk We Love You SRK look https iamzaid wordpress com 2014 06 21 shah-rukh-khan-naam-toh-suna-hoga|4|1
11:17 AM - 9 Dec 2015|Aaj phir tum pe pyar aaya h @iamsrk We Love You SRK|5|0
11:17 AM - 9 Dec 2015|@iamsrk We Love You SRK|9|1
11:18 AM - 9 Dec 2015|Dilwale kerala Rights 2 10Cr We Love You SRK|4|1
11:16 AM - 9 Dec 2015|We Love You SRK|5|0
11:17 AM - 9 Dec 2015|We Love You SRK pic twitter com kJrqrEhy9K|4|3
11:12 AM - 9 Dec 2015|We Love SRK So much pic twitter com qhAFw3OPDT|13|4
11:17 AM - 9 Dec 2015|We Love You SRK @iamsrk pic twitter com GodltDJsPN|2|1
11:16 AM - 9 Dec 2015|We Love You SRK|6|0
11:18 AM - 9 Dec 2015|@srkuniverse love SRK|2|0
11:15 AM - 9 Dec 2015|Come We Love You SRK @iamsrk|5|0
11:16 AM - 9 Dec 2015|We Love You SRK|8|0
11:16 AM - 9 Dec 2015|@iamsrk Love You We Love You SRK|6|0
11:17 AM - 9 Dec 2015|@iamsrk Aap Pride Ho India Ki We Love You SRK|10|4
11:16 AM - 9 Dec 2015|We Love SRK pic twitter com K4mYnySziO|14|1
11:17 AM - 9 Dec 2015|We Love You SRK pic twitter com d85TQOdSXw|9|1
11:09 AM - 9 Dec 2015|I tell fans social media use bad abusive language If want say talk face behind SRK We Love SRK @iamsrk|23|9
11:09 AM - 9 Dec 2015|Use We Love You SRK ur tweets|9|2
11:09 AM - 9 Dec 2015|We Love SRK @iamsrk|7|1
11:09 AM - 9 Dec 2015|We Love You SRK|7|1
11:09 AM - 9 Dec 2015|We Love You SRK @iamsrk 34|7|1
11:09 AM - 9 Dec 2015|We Love You SRK g|5|1
11:09 AM - 9 Dec 2015|We Love You SRK|7|1
11:10 AM - 9 Dec 2015|Kindness hallmark creativity SRK We Love You SRK pic twitter com uuNvoAGhfc|129|82
11:10 AM - 9 Dec 2015|@srkuniverse aaye haaye mere doctor sahab mera bhi treatment karo We Love You SRK|1|1
11:09 AM - 9 Dec 2015|It's impossible hate We Love You SRK pic twitter com 6pYx3pGxdH|155|133
11:07 AM - 9 Dec 2015|We Love You SRK @iamsrk 10|7|0
11:07 AM - 9 Dec 2015|We Love You SRK @iamsrk|8|0
11:07 AM - 9 Dec 2015|We Love You SRK @iamsrk 9|8|0
11:07 AM - 9 Dec 2015|We Love You SRK @iamsrk 8|7|0
11:06 AM - 9 Dec 2015|We Love You SRK @iamsrk|10|0
11:06 AM - 9 Dec 2015|We Love SRK|6|0
11:04 AM - 9 Dec 2015|Make feel proud FAN We Love You SRK|12|2
11:10 AM - 9 Dec 2015|We love SRK 8|1|0
11:09 AM - 9 Dec 2015|RT This Tweet I Rate Your Twitter DP WE LOVE YOU SRK|33|9
11:10 AM - 9 Dec 2015|We Love SRK @iamsrk|3|0
11:06 AM - 9 Dec 2015|Every guy wanna like every girl wanna SHAH RUKH KHAN We Love You SRK pic twitter com deZXKTETfb|225|184
11:09 AM - 9 Dec 2015|@iamsrk know sounds stupid I find They motivate even depressed man world We Love You SRK|2|0
11:07 AM - 9 Dec 2015|@iamsrk don't know I love morning evening sunrays Don't I find extremely sweet We Love You SRK|4|0
11:08 AM - 9 Dec 2015|SRK SRK We love SRK|1|0
11:08 AM - 9 Dec 2015|We love SRK|2|0
11:04 AM - 9 Dec 2015|Keep spreading love We Love You SRK|12|0
11:03 AM - 9 Dec 2015|We Love You SRK @iamsrk w|12|2
11:03 AM - 9 Dec 2015|We Love SRK|12|2
11:03 AM - 9 Dec 2015|We Love You SRK @iamsrk v|12|1
11:03 AM - 9 Dec 2015|We Love You SRK @iamsrk|11|1
11:03 AM - 9 Dec 2015|We Love You SRK @iamsrk u|12|1
11:03 AM - 9 Dec 2015|We Love You SRK @iamsrk|11|2
11:08 AM - 9 Dec 2015|@iamsrk love SRK|3|0
11:07 AM - 9 Dec 2015|RT Love SRK unconditionally We Love SRK @iamsrk|7|0
10:24 AM - 9 Dec 2015|Don't abuse mothers sisters wives they're yours- SRK He must proud guys|33|7
11:06 AM - 9 Dec 2015|Trend We Love You SRK|1|0
11:06 AM - 9 Dec 2015|We Love You SRK|5|1
11:05 AM - 9 Dec 2015|We Love SRK @iamsrk|1|0
11:05 AM - 9 Dec 2015|Decreasing Following List today Unfollowing FAKE SRK FANS We love SRK|11|3
11:03 AM - 9 Dec 2015|We Love You SRK @iamsrk o|13|0
11:00 AM - 9 Dec 2015|Mention The Reasons As Well WE LOVE YOU SRK @iamsrk|12|0
11:03 AM - 9 Dec 2015|We Love SRK @iamsrk|14|0
11:01 AM - 9 Dec 2015|@SRKUniverse thank guys We Love You SRK|14|0
11:01 AM - 9 Dec 2015|We Love You SRK @iamsrk|15|2
11:01 AM - 9 Dec 2015|We Love You SRK|16|0
11:01 AM - 9 Dec 2015|We Love SRK|15|0
11:01 AM - 9 Dec 2015|We Love You SRK|14|0
11:04 AM - 9 Dec 2015|We Love SRK @iamsrk|1|0
11:04 AM - 9 Dec 2015|We Love SRK @iamsrk|4|0
11:03 AM - 9 Dec 2015|Trend WE LOVE YOU SRK|11|0
11:03 AM - 9 Dec 2015|We Love You SRK @iamsrk m|12|0
10:59 AM - 9 Dec 2015|We Love SRK|9|1
10:59 AM - 9 Dec 2015|We Love You SRK @iamsrk pic twitter com 7J89mzUzDA|15|6
10:59 AM - 9 Dec 2015|We Love SRK|8|0
10:41 AM - 9 Dec 2015|Contest Alert Do think you're biggest SRKfan Write words Love send @iamsrk Person tweets wins|105|74
10:57 AM - 9 Dec 2015|What FAN show love idol Let's show love SRK trending We Love You SRK|150|69
10:56 AM - 9 Dec 2015|Dilwale #WeLoveYouSRK @iamsrk pic twitter com z9lnkqbUP5|5|5
10:57 AM - 9 Dec 2015|#WeLoveYouSRK We Love You SRK 8 Days For Dilwale many tags For Let's stick We Love You SRK|121|53
10:45 AM - 9 Dec 2015|World needs 2hear dgood louder dan d bad Talk abt ur charities d people u help blow dat trumpet loud others learn 2 follow esp kids|994|2.8K
9:56 AM - 9 Dec 2015|190 156 people could seen #SalmanKaidi343 since 1st mention became Trending Topic #trndnl|12|2
10:02 AM - 9 Dec 2015|The tweet impact #SalmanKaidi343 Trend published SRKswarrior1 http twitter com SRKswarrior1 status 674643880567001088 20 RTs #trndnl|16|3
10:22 AM - 9 Dec 2015|Dear whoevers fan You trend rubbish SRK We hit truth And everybody knows #SalmanKaidi343 truth|25|8
9:30 AM - 9 Dec 2015|Start #SalmanKaidi343|22|0
9:30 AM - 9 Dec 2015|fan war ab tag trend honge neural ppl srkians #SalmanKaidi343|25|2
9:32 AM - 9 Dec 2015|2-2 anti tags #SalmanKaidi343|26|0
