7:10 AM - 19 Nov 2015|Shout out to my laptop for being the absolute worst
10:12 AM - 21 May 2015|I'm starting to think I'm waaay too invested in @Survivor_Tweet. I started crying when the winner announced #SurvivorAnonymous
2:44 PM - 19 May 2015|Binge-watching @HGTV like it is a full-time job
3:20 PM - 17 May 2015|Had the best breakfast treat from @BrunchTruckPGH in honor of #SquareDozen years of @TheSquareCafe goodness pic.twitter.com/nIH2OvIIzb
6:20 PM - 5 May 2015|I love @DorindaMedley's interactions with her daughter because her eye brows are AMAZING #RHONY
6:09 PM - 5 May 2015|Super great to see @KristenTaekman for basically the first time this season #RHONY
6:07 PM - 5 May 2015|Imagine a world where @SonjatMorgan wrote the Constitution #RHONY
2:30 PM - 30 Apr 2015|Getting ready for my grammar final like: pic.twitter.com/p3St7ova7e
8:54 AM - 27 Apr 2015|Describe your professor in 5 words or phrases: alive; there; awake; not asleep; able to speak
11:15 AM - 21 Apr 2015|Don't miss your chance to win a #BlockParty2015 floor ticket! pic.twitter.com/JDtvCmK2Rd
4:03 PM - 17 Apr 2015|I call this one my #CharisseSelfie. Loving @charisseiscool's @TEDxSyracuseU talk on Healthie Selfies pic.twitter.com/E0KhnYuLuR
10:41 AM - 16 Apr 2015|A professor who insists on using a flash drive instead of Google Docs because a flash drive is faster is not with the times
6:45 AM - 14 Apr 2015|The guy sitting in front of me smells like he has lived in an Abercrombie store his entire life
6:35 PM - 9 Apr 2015|Baby Mama in the yellow is giving me life #FullDisclosure #addamsfamilyfyp @fypsyracuse
7:36 PM - 8 Apr 2015|To get ahead on my homework or to watch hours of Real Housewives?
5:19 PM - 5 Apr 2015|The @UUInsider Mayfest line-up has me feeling right.
8:07 PM - 4 Apr 2015|i'm ready for @CountessLuann's tinder shade on #RHONY season 7 premiere this tuesday! #TeamLuann pic.twitter.com/Ps4Zjp4Pyl
11:32 AM - 5 Apr 2015|Resurrected @charli_xcx's True Romance for today's study vibes. #HappyEaster
1:24 PM - 4 Apr 2015|Cool day at the Shelbourne Museum pic.twitter.com/OfwMhI4P3M
6:26 AM - 3 Apr 2015|This is very pointed RT@SUFixIt: Be original. #SUFIXIT
1:03 PM - 1 Apr 2015|Is this your April Fools joke, @Spotify? pic.twitter.com/BwpfqLyooq
11:44 AM - 1 Apr 2015|Ok, Mom. pic.twitter.com/LWmmcG7ene
6:07 PM - 31 Mar 2015|Me reading the @UUInsider #BP15 announcement. #TakeItAsYouWill pic.twitter.com/6oaf87xqOA
1:26 PM - 31 Mar 2015|There is NO WAY it is Rihanna though.
1:25 PM - 31 Mar 2015|Why has @UUInsider waited until tonight to announce #BP15? ALL SIGNS POINT TO RIHANNA. #BitchBettaHaveMyMoney #BBHMM
5:50 AM - 30 Mar 2015|I consider myself to be more of a savory than a sweet person, but recently I've been finding chocolate on EVERYTHING #SOS
9:45 AM - 28 Mar 2015|Going to great lengths to get this iced coffee
10:21 AM - 27 Mar 2015|Fridays that turn out to be busier than they should be.
5:11 PM - 26 Mar 2015|My sister is the sweeeeeeeeetest!! @LanaCMeyer pic.twitter.com/vfy9j4qSME
3:10 PM - 25 Mar 2015|Today at @jerkmagazine digital meeting pic.twitter.com/PBgfE7b1EU
12:50 PM - 25 Mar 2015|Listening to the Spice Girls in honor of the probable demise of One Direction. Stay tuned for a little ditty I wrote all about it.
8:52 AM - 25 Mar 2015|Retweet to save a life RT@jerkmagazine: Get your cake on. pic.twitter.com/0Y0KsXC1qd
4:39 AM - 25 Mar 2015|Started my Wednesday with a black cat passing my path #meow
5:10 PM - 24 Mar 2015|hey @erbreslin! thanks for the pro-tip!
5:06 PM - 24 Mar 2015|Look at @HanksyNYC telling it like it is. pic.twitter.com/vQtR0217KF
4:59 PM - 24 Mar 2015|#WordsToLiveBy RT@erbreslin #1 thing you need to work at HD? Write. #SocCommDays
4:45 PM - 24 Mar 2015|For Halloween I wore a shirt with Santa on a motorcycle. HD is reaching a reach audience #SocCommDays pic.twitter.com/Pc2iLdJWwk
4:38 PM - 24 Mar 2015|Though Harley Davidson is a U.S.-centric brand they used multimedia to show their products go worldwide #com117ag #SocCommDays
4:30 PM - 24 Mar 2015|Anything in the 80s is really good  -Joanne Bischmann. She can't be talking about the hairdos. #SocCommDays
4:31 PM - 24 Mar 2015|Sometimes hair gets in the way, but you can't let that stop you #SocCommDays #PushThrough pic.twitter.com/LfgL6mvWmx
4:27 PM - 24 Mar 2015|The brand is not the company. - Joanne Bischmann, wise words for someone interested in brand development #SocCommDays
4:24 PM - 24 Mar 2015|HDs brand relevance is at par w/ powerhouses like Apple, Coca-Cola, & Google despite demand being down over the past several years #com117ag
4:18 PM - 24 Mar 2015|Harley-Davidson survived on tribal knowledge for over 90 years before changing their methods. #com117ag #SocCommDays
4:06 PM - 24 Mar 2015|Fingers crossed the #SocCommDays prize is a motorcycle.
3:20 PM - 24 Mar 2015|I was tired and I need energy #mydunkin pic.twitter.com/mtVuGZNYf4
12:22 PM - 24 Mar 2015|Vroom, Vroom. Preparing my engine for #SocCommDays and Joanne Bischmann of @harleydavidson this evening.
7:54 AM - 23 Mar 2015|Hey @JamesFrancoTV - where can I get this coat? Sincerely, Cold. pic.twitter.com/yqAur5o1Jg
12:22 PM - 18 Mar 2015|Hey @DEVRIESGlobal! I'm curious about creating creative digital communities through hashtags #dvgintern pic.twitter.com/0VkbBXniyx
8:22 PM - 17 Mar 2015|It is always good to relax and refocus your thoughts and priorities.
9:14 AM - 16 Mar 2015|Back to reality I go...
6:25 AM - 16 Mar 2015|Can't explain why I've been listening to Selena songs all morning.
8:50 AM - 15 Mar 2015|I want to marry @JetBlue
11:11 AM - 7 Mar 2015|I bet Taylor Swift wrote Welcome To New York in hopes it would be played in airport terminals #goals #standards #jfkairport
8:15 AM - 7 Mar 2015|Gettin' ready to fly for the first time since I was a little chicken nugget
10:17 AM - 5 Mar 2015|OMG - its @erickingdavid! Head Bitch of @jerkmagazine, creator of Jerkiana Grande, and etc. w/ a chicken pesto wrap pic.twitter.com/3qoGADA1QE
6:42 PM - 4 Mar 2015|I told myself I wouldn't, but I'm rewarding myself with @ChipotleTweets #oops
12:37 PM - 4 Mar 2015|3 midterms in one day completed. I'm still alive. I can almost smell the beach.
8:14 PM - 2 Mar 2015|Memorization and I don't mesh. I just attempted to memorize the Rex Harlow definition of #PR to the tune of Destiny Child's Survivor
11:09 AM - 1 Mar 2015|I am one happy burrito boy thanks to @NourishSyracuse pic.twitter.com/0U8jpChi4G
9:01 AM - 1 Mar 2015|Can't wait to have my burrito! @NourishSyracuse #BurritoMe #ChipotleFever
9:57 AM - 28 Feb 2015|It is days like today when I went nothing but a @primantibros sandwich #PGH #Pittsburgher
7:27 PM - 27 Feb 2015|Shangela will do anything for a dollar #TFDS2015
10:58 AM - 24 Feb 2015|Smile more.
9:43 AM - 23 Feb 2015|It is one degree in Syracuse right now. Spring Break can't come fast enough
2:39 PM - 20 Feb 2015|Want to be a food vendor at this year's 3rd Annual Pittsburgh Pierogi Fest? Email us at pghpierogifest@gmail.com #CityofDumplings
3:38 PM - 18 Feb 2015|Doing the right thing pays dividends. - @fitzmag #WordsToLiveBy #JNJjourney
3:26 PM - 18 Feb 2015|#JNJjourney has helped tell the story/importance of nurses via their Nurses Heal campaign. #com117ag
3:15 PM - 18 Feb 2015|.@JNJNews realizes that representation, trust, and management is crucial for success #com117ag
3:01 PM - 18 Feb 2015|Getting ready to hear @fitzmag speak! #JNJjourney #com117ag
12:35 PM - 17 Feb 2015|You can typically tell how my day is going by how many times I exhale.
6:58 AM - 16 Feb 2015|Pro-Tip: Cut the toxic people out of your life and drink lots of water
6:40 AM - 16 Feb 2015|Goggled pierogi and vogue within seconds of each other. Something about this is very conflicting.
4:54 AM - 16 Feb 2015|I don't get why college students where college/university apparel of schools they don't go to?
12:33 PM - 13 Feb 2015|Guys rush: so much khaki it is blinding.
6:02 PM - 12 Feb 2015|Went to a drag show and ate chipotle in the same night #ILoveMyself pic.twitter.com/JaGDt6GHAo
4:15 PM - 12 Feb 2015|Can't wait to see @bigandmilky #TFDS2015
12:44 PM - 12 Feb 2015|First time at Faculty #bougie #SU pic.twitter.com/ehiHnDxpbi
7:45 AM - 12 Feb 2015|Bless this iced coffee and bless these elastic pants
10:43 PM - 11 Feb 2015|Bad man don't exist, no evil man exists
12:05 PM - 11 Feb 2015|Internal dilemmas of showering, getting a croissant, or both after class. Pretty much the definition of #firstworldproblems
6:33 AM - 11 Feb 2015|Can I have a week off? Please? No? Ok.
7:19 PM - 10 Feb 2015|I've had it!!! #HappyTuesday #TooMuchCoffee pic.twitter.com/ThToqcip0s
8:00 AM - 10 Feb 2015|Yo - @NewhouseSU, what happened? pic.twitter.com/bnnnfBHdby
4:50 AM - 9 Feb 2015|For the second week, @syracuse--how am I expected to go to my 8am when the sidewalks aren't plowed and the snow is falling in my boots
7:49 AM - 3 Feb 2015|Beyond excited to listen to @FifthHarmony's first studio album, #ReflectionOutNow
6:50 AM - 2 Feb 2015|Doing story boarding for the first time. I'm clearly an artist. pic.twitter.com/DZYE8tNpuW
4:57 AM - 2 Feb 2015|Snow up past my boots. I guess this what I signed up for, @SyracuseU #PleaseClearTheSidewalks
5:28 PM - 1 Feb 2015|Who wore it better? pic.twitter.com/xANfy4SpfW
5:23 PM - 1 Feb 2015|Is Katy on a drone?
5:31 PM - 1 Feb 2015|That @britneyspears commercial was odd, but then again...so is Britney. #SuperBowlRally
5:22 PM - 1 Feb 2015|Katy's mic is attached to her hand via Wii remote control bracelet #KatyPerrySuperBowl
5:20 PM - 1 Feb 2015|I'm interested in @AZEALIABANKS' opinion of the black appropriation that is the #KatyPerrySuperBowl #HalftimeShow
5:19 PM - 1 Feb 2015|...and Missy Elliot to the rescue #KatyPerrySuperBowl
5:18 PM - 1 Feb 2015|Katy Perry's half time is cheesy and tacky, but I guess she gets off on being cheesy and tacky #HalftimeShow
4:23 PM - 1 Feb 2015|That Nissan commercial was homo-erotic and left me confused #withdad #dilf #daddyissues
7:21 AM - 1 Feb 2015|Getting ready to attempt to slam out two weeks worth of homework in 8 hours.
11:03 AM - 29 Jan 2015|RT/FAV Beautiful Ethnic Boho Style on #TheSartorialist #fashion #ethnic #fbloggers pic.twitter.com/1dTWvCr7b8
10:31 AM - 29 Jan 2015|Ah! @wigo is unlocked! Just in time for #thirstythursday pic.twitter.com/0EubEKWQK1
8:01 AM - 29 Jan 2015|Coffee, gum, and dunkin donuts breakfast sandwiches power me.
4:48 AM - 28 Jan 2015|Ahhh. Nothing like an 8am class on four hours of sleep.
10:01 AM - 27 Jan 2015|My mind is constantly blown by how @Snapchat changing their app and making it more relevant to every day life. Awesome new update
2:56 PM - 26 Jan 2015|HISTORY!?!?!?! #WhyDoICareSoMuch pic.twitter.com/8qNwzQSQOa
9:39 AM - 26 Jan 2015|One of my professor's playlists includes @RuPaul's #SissyThatWalk. I'm really hoping he sissies that walk for us 
4:37 AM - 26 Jan 2015|Breakfast of champions or breakfast of tired college students? #DunkinDonuts pic.twitter.com/GVDcFTX6jg
5:38 PM - 25 Jan 2015|THIS JUST IN: @SUDanceTeam grows enough hair to reach around the world 14 times pic.twitter.com/uFGtFVDJF4
10:50 AM - 25 Jan 2015|Not sure how to feel about @rihanna's #FourFiveSeconds, but I keep listening to it.
7:46 AM - 22 Jan 2015|Even 3-day weeks can be exhausting. #IsThisAllowed
12:20 PM - 21 Jan 2015|Goals include: Walking around in sub-zero temperatures with an iced coffee and repeating I CAN'T EVEN!!!! over and over
11:50 AM - 21 Jan 2015|When class gets out early the obvious option is to get @CafeKubal. #DayMade
8:19 AM - 21 Jan 2015|Changed my cover photo because @lauragailcohen brought the point that my previously one made me look deeply religious pic.twitter.com/lYF6chr6eJ
4:46 AM - 21 Jan 2015|Loving running on 5 hours of sleep right now
7:47 AM - 20 Jan 2015|I get entirely too excited when @fIfthharmony releases a new song #WorthIt
8:26 AM - 14 Jan 2015|The next big thing in #SocialMedia for #college students is on the horizon. Download @wigo now! pic.twitter.com/HPbiZ00ngJ
4:29 PM - 13 Jan 2015|Bob Costas was not a Newhouse alum...
11:34 AM - 13 Jan 2015|Retweet if you received a snapchat with the temperature this morning, fave if you sent one pic.twitter.com/EKazBXyqPE
5:19 PM - 12 Jan 2015|Currently printing over 400 pages #SorryEarth
7:44 AM - 12 Jan 2015|First day of spring semester classes are underway and I'm already one @DunkinDonuts large iced coffee in.
6:30 PM - 11 Jan 2015|#GoldenGlobe SnapChat Story: so you can look at the rich & famous while you sit on the toilet at your minimum wage job
5:06 PM - 5 Jan 2015|Technology is my weakest thing. - Kate Gosselin...as she decides to become the project manager. WHO ARE YOU? #CelebrityApprentice
5:05 PM - 5 Jan 2015|If the girls were smart, they'd pick Kenya as their project manager ;) #CelebrityApprentice
5:05 PM - 5 Jan 2015|Wow @BrandiGlanville those glasses make you look like a total business woman #professional #CelebrityApprentice
7:02 PM - 4 Jan 2015|Is it just me or does it look like Shawn Johnson has won an Olympic Gold Metal in pie eating? #CelebrityApprentice
6:23 PM - 4 Jan 2015|Kate Gosselin is like I make a shit ton of food. I got this. #CelebrityApprentice
6:13 PM - 4 Jan 2015|Can we get a season of #CelebrityApprentice that's only Real Housewives? (I'd also be down with Survivor or Big Brother doing this.)
6:07 PM - 4 Jan 2015|If said @MarkBurnettTV jump, I would jump. Everything he does is gold. #CelebrityApprentice
5:58 PM - 4 Jan 2015|.@SonjatMorgan I'm team #TeamBrandi because blondes have more fun ;) Who are you rooting for?? #CelebrityApprentice
5:56 PM - 4 Jan 2015|.@EvolutionPR_ Likewise! I'm sure its gonna be a good one
5:33 PM - 4 Jan 2015|Cannot wait to see @BrandiGlanville kick some serious ass on #CelebrityApprentice! #TeamBrandi
3:27 PM - 29 Dec 2014|Watching @bostonmarket #undercoverboss and I'm glad people get to see how difficult it is being a carver. #OldJob #FirstJob
8:51 AM - 23 Dec 2014|My beautiful friends are taunting me. pic.twitter.com/tdWryoz8cL
12:44 PM - 19 Dec 2014|@aidanmmeyer I know it looks great because you are great!!
12:16 PM - 19 Dec 2014|Gave my resume a complete facelift. Thanks for all of the help @lauragailcohen!
1:50 PM - 18 Dec 2014|Congrats @ValoreBooks for being the absolute worst!   Xoxo, Disgruntled
6:01 PM - 17 Dec 2014|That move could have easily won Natalie a million dollars #survivorfinale
5:04 PM - 17 Dec 2014|Don't know who to root for now that Josh and Reid aren't in the running #survivorfinale
5:03 PM - 17 Dec 2014|This has been an emotion journey. Finally time for #survivorfinale
2:42 PM - 12 Dec 2014|As a baby bump who was hidden from telev audiences, I don't think Alyssa Milano's baby bump is allowed to wear leather pants + animal print
2:39 PM - 12 Dec 2014|Alyssa Milano is waaaaay too pregnant for television #ProjectRunwayAllStars
10:35 AM - 12 Dec 2014|I feel like I always get death glares whenever I tell people I'm busy, but then they see on me #SocialMedia. Sorry! Social media is my job!
7:27 AM - 8 Dec 2014|Literally people write these social media is destroying us essays and then share the link to what they wrote on social media
6:27 AM - 2 Dec 2014|Being sick on your birthday is no fun--especially when you have an examen and major presentation on the same day
12:25 PM - 29 Nov 2014|Thanksgiving leftovers! Mmmm
8:02 PM - 24 Nov 2014|We can make a change by standing up for what we believe in. Looting stores & burning buildings is doing NOTHING but spreading negativity
7:25 PM - 24 Nov 2014|And Don Lemon reports via gas mask.
7:23 PM - 24 Nov 2014|And why is he wearing it like a fashionable hat? RT@Andy: Why is Don Lemon the only person wearing a gas mask!?
7:19 PM - 24 Nov 2014|Did @BarackObama say that a negative reaction will make good tv ? #ferguson #FergusonDecision
7:07 PM - 24 Nov 2014|Obviously theres a smell of marijuana in the air. What kind of statement is that @CNN???? #Ferguson #FergusonDecision
6:46 PM - 24 Nov 2014|You could fill an Olympic-sized swimming pool with the amount of sweat McCulloch is sweating right now. #Ferguson #FergusonDecision
6:38 PM - 24 Nov 2014|Can't even fathom the amount of life and emotion happening in #Ferguson right now. #Inspiring
6:33 PM - 24 Nov 2014|I don't understand how the general public sees complete injustice--yet there is nothing being done but a polite slap on the hand #Fergsuon
6:25 PM - 24 Nov 2014|No indictment by grand jury
6:24 PM - 24 Nov 2014|If anything, McCulloch is giving letting America know the power of social media and 24-hour news. #FergusonDecision #Ferguson
6:21 PM - 24 Nov 2014|Multiple sources close to family of Michael Brown confirm family has been notified there will be no indictment - @NBCNews #FergusonDecision
6:20 PM - 24 Nov 2014|McCulloch, before giving announcement, chastises 24-hr news cycle and social media. #Ferguson
6:20 PM - 24 Nov 2014|Shout out to the 24 hours news cycle #Ferguson
6:18 PM - 24 Nov 2014|If you're not watching the #Ferguson decision, you're gonna wanna turn it on. History is being made.
5:56 PM - 24 Nov 2014|Protests below the sign. #Ferguson's paradox at moment pic.twitter.com/DKhKN9jSqM
5:59 PM - 24 Nov 2014|Watching the #Ferguson decision live. On the edge of my seat.
6:33 PM - 23 Nov 2014|Frankie Grande is a disease #AMAs2014 #AMAs
5:01 PM - 23 Nov 2014|Who decided it would be a good idea to have @pitbull host the #AMAs #AmericanMusicAwards ???
7:53 AM - 22 Nov 2014|Day made by @lauragailcohen pic.twitter.com/BoAeihZ2N2
6:06 AM - 22 Nov 2014|NYC Bound!!
11:02 AM - 19 Nov 2014|Our guess is @OttoTHON with a goal of $105,000. @justgotpinned @ARMartini pic.twitter.com/v3fXXM5f7i
11:45 AM - 20 Nov 2014|I'm getting filmed eating Chipotle. All of my pornography dreams are coming true!
5:49 AM - 20 Nov 2014|My blog post about @aidanmmeyer catapulted me to over 6,000 views. He's kind of a rock star. I just get to live in his world.
9:25 AM - 19 Nov 2014|When you think about it, Jessica Lang is the Lea Michelle of #AHS #AmericanHorrorStory #AHSFREAKSHOW cc: @MrRPMurphy
1:25 PM - 18 Nov 2014|Every time I take a final sip of my coffee I pretend that I'm in Flashdance and water is going to be dropped on me. #Dramatic? Nah.
5:49 PM - 17 Nov 2014|My Chipotle addiction reached new heights today whenever I got this in the mail: pic.twitter.com/cOEdQqipfX
4:43 PM - 17 Nov 2014|Not sure if I trust SnapChat with my bank account info #snapcash
8:34 AM - 17 Nov 2014|And just like that Monday is here again.
1:51 PM - 11 Nov 2014|Not entirely sure about I feel about Iggy Azalea's new song Iggy SZN. Mostly because SZN is supposed to be season.
11:54 AM - 11 Nov 2014|Its official @SonjatMorgan's tweets get me through my day #GodBless
11:47 AM - 11 Nov 2014|When you feel like giving up, remember why you held on for this long in the first place #Quote #QOTD #RHONY
8:38 AM - 11 Nov 2014|Beyond anxious for Thanksgiving Break. Let me go home nooooow.
8:37 AM - 11 Nov 2014|Happy Veterans Day! Thank you to everyone who has served in the past and present! #VeteransDay
10:30 AM - 7 Nov 2014|Flashback to last night at #PRSSAFormal2014 with @erbreslin. We matched. We danced. We liz'd & liz'd. pic.twitter.com/7h5wUvzzOw
9:52 AM - 7 Nov 2014|The woman giving me my Dunkin Donuts told me I look like Cliff Montgomery. ~compliments and coffee~ pic.twitter.com/6TBKTSSo25
1:19 PM - 6 Nov 2014|Ok. I've only listened to 5 tracks on #BROKEWITHEXPENSIVETASTE by @AZEALIABANKS but it is on point and completely innovative!
12:13 PM - 6 Nov 2014|In my opinion @hm's #ALEXANDERWANGxHM collection was all hype. There were a few good pieces and the rest was weak #OverHyped
8:26 AM - 6 Nov 2014|Getting out of class early is always reason enough to get @CafeKubal with @erbreslin #KubalAndNoseBlows #LizAndLiz
1:37 PM - 5 Nov 2014|We're hard at work brainstorming our own ideas for corporate social media strategy #soccommdays pic.twitter.com/NWzQp09RtQ
1:04 PM - 5 Nov 2014|Always exciting to see how essential #data & #analytics is when figuring what your audience responds to #SocCommDays @SocCommSU
12:36 PM - 5 Nov 2014|I shaved for #SocCommDays #youngprofessional @SocCommSU
3:04 PM - 3 Nov 2014|My landlord for next year texted me and asked if we wanted a free couch in good condition. Ugh, duh! Best landlord ever.
9:48 AM - 31 Oct 2014|This year for Halloween I'm a bed ridden college student with too many obligations #spooky #happyhalloween
1:30 PM - 28 Oct 2014|I recently got this @CalvinKlein jacket. Hoping @LTatSyracuse will help assist my addiction #SUOBSESSED pic.twitter.com/wZRW1E4n2z
3:10 PM - 27 Oct 2014|Need some words of wisdom. @SonjatMorgan how do you deal with a bad day?
1:07 PM - 27 Oct 2014|Happy Jerk Week. Our November issue will be dropping this week. Keep those eyes peeled!
11:29 AM - 27 Oct 2014|Gotta bad case of the Monday blues
3:41 PM - 26 Oct 2014|I refuse to believe that October is almost over. The end of the year flies by too fast.
