8:54 PM - 29 Jun 2012|Follow Us tryna make it check us out mixtape coming july 2012
8:08 AM - 27 May 2011|List your business and run your own deal.. Its easy and its Free http://su.pr/1ZQG7W
8:07 AM - 27 May 2011|Feature Your Business and run your own deal @ http://su.pr/1ZQG7W
9:19 PM - 26 May 2011|Feature your business - and run you deal @ http://su.pr/7rgUOt
9:17 PM - 26 May 2011|check in for local specials @ http://su.pr/2uaCAc
1:10 PM - 26 May 2011|Nice way to check all your local specials - http://su.pr/2uaCAc
1:08 PM - 26 May 2011|our chrome app - http://su.pr/2uaCAc
11:27 AM - 26 May 2011|Download our Google Chrome web app from - http://su.pr/2uaCAc
8:11 AM - 26 May 2011|Now you can download our Google Chrome web app from http://su.pr/2uaCAc
7:23 AM - 26 May 2011|Download our Google Chrome web app - http://su.pr/2uaCAc
7:22 AM - 26 May 2011|Google Chrome app - http://su.pr/2uaCAc
10:06 AM - 20 May 2011|Fire @ Apple iPad 2 Foxconn - http://bit.ly/j23jHB 2 killed
10:04 AM - 20 May 2011|Fire @ Apple iPad 2 Foxxconn plant http://bit.ly/eXBw1d - 2 killed
11:51 AM - 17 May 2011|check out this nature certified prdocuts from http://bit.ly/lHHsI7
11:50 AM - 17 May 2011|Check out this naturecertified product from bit.ly/lHHsI7
10:14 PM - 9 May 2011|NYC Deal - 43% Off on Brazilian Blowout / Brazilian Keratin Treatment http://gflk.me/jwNxP2 via @Geoflake
3:17 PM - 7 May 2011|Vancouver (Ending Soon) 2 DAY SALE 50% off Unlimited Yoga Passes  Sign up before Sat May 7th at noon http://gflk.me/ikoMDc via @Geoflake
9:23 PM - 5 May 2011|Geoflake introduces My Deals. Nowsairam you can Personalize Geoflake to see only deals you like. http://gflk.me/eMG9N2 @Geoflake
9:22 PM - 5 May 2011|Geoflake introduces My Deals. Now you can Personalize Geoflake to see only deals you like. http://gflk.me/eMG9N2 @Geoflake
8:33 PM - 5 May 2011|Vancouver - 2 DAY SALE 50% off Unlimited Yoga Passes  Sign up before Sat May 7th at noon http://gflk.me/ikoMDc via @Geoflake
8:59 PM - 18 Apr 2011|Geoflake introduces My Deals. Now you can Personalize Geoflake to see only deals you like. http://gflk.me/eMG9N2 - Its Free @Geoflake
6:25 PM - 17 Apr 2011|Geoflake introduces My Deals. Now you can Personalize Geoflake to see only deals you like. http://su.pr/5iuDuB @Geoflake
7:21 PM - 12 Apr 2011|$10 to Spend on Food - http://su.pr/1g8Px3
10:48 AM - 27 Mar 2011|(60% Off ) - $100 for $250 worth of tax preparation services. http://su.pr/1EROFD via @geoflake
1:38 PM - 10 Feb 2011|Orlando - $20 for $45 worth of Cupcakes http://su.pr/2yCRZH via @geoflake
7:17 AM - 7 Feb 2011|$20 for $45 worth of Cupcakes at Orlando,FL http://su.pr/1OcfPu via @geoflake
7:16 AM - 7 Feb 2011|[Must check out] Your guide to best daily deals in your city. Upto 90% Off on Restaurants, Spas, Entertainment and more..http://su.pr/7Jz2er
8:22 AM - 6 Feb 2011|$20 for $45 worth of Cupcakes at Orlando,FL http://su.pr/1OcfPu via @geoflake
11:37 AM - 4 Feb 2011|Your guide to best daily deals in your city. Upto 90% Off on Restaurants, Spas & more...Check out the brand new site. http://su.pr/7Jz2er
7:43 AM - 24 Jan 2011|$20 for Admission for Two to The Comedy Zone +  Free Parking (up to $62 value) at Washington DC http://su.pr/2ixNbm via @geoflake
9:00 AM - 19 Jan 2011|50% Off $20 Amazon.com Gift Card for just $10 at Washington Dc http://su.pr/1CMYaf via @geoflake
9:19 PM - 11 Jan 2011|$10 for $20 Worth of Food at Pitazzi Restaurant at Washington DC  - http://su.pr/28qhMT
6:49 AM - 5 Jan 2011|50% off - $25 for $50 Worth of Car Detailing Services at Detailz Fine Auto Cleaning at Washington DC http://su.pr/2dglCm via @geoflake
6:37 AM - 29 Dec 2010|(50% Off) New Nokia Bluetooth Headset BH-602 for $29.99 (Orig:$59.99)   + Free Shipping - http://bit.ly/fJ6B0m via @geoflake
6:35 AM - 29 Dec 2010|(50% Off) Brand New Nokia Bluetooth Headset BH-602 for $29.99 (Orig:$59.99)   Free Shipping - http://bit.ly/fJ6B0m via @geoflake
10:23 PM - 22 Dec 2010|38% Off on HTC HD2 Telstra T9193 16GB unlocked intl version Windows $499 at Online http://su.pr/7hHF9p via @geoflake
12:40 PM - 21 Dec 2010|38% off on a Brand New HTC EVO 4G Sprint - $369. (Orig: $599). No shipping. No Contract. Great Holiday Gift - http://su.pr/79V2K4 @geoflake
2:03 PM - 20 Dec 2010|46% off - $84 for One Process Color at Jeanies Salon & Day Spa ($155 Val) Free skin analysis & 5 min back rub. Annapolis-http://su.pr/2jul89
9:56 AM - 14 Dec 2010|$40 For E-mailed Image and Session Including Retouching from Glamour Shots at Baltimore http://su.pr/3NaqXp via @geoflake
9:55 AM - 14 Dec 2010|Buy one dozen get one dozen free on all of our mini cupcakes. at Orlando,FL http://su.pr/2RSFJj via @geoflake
9:54 AM - 14 Dec 2010|$84 for One Process Color at Jeanies Salon & Day Spa ($155 Value) Free skin analysis and 5 min back rub. @ Annapolis,MD http://su.pr/1bFgnw
7:34 PM - 13 Dec 2010|Buy one dozen get one dozen free on all of our mini cupcakes. at Orlando,FL http://su.pr/8sUmcp via @geoflake
7:33 PM - 13 Dec 2010|$84 for One Process Color at Jeanies Salon & Day Spa ($155 Value)  Free skin analysis and 5 min back rub. @ Annapolis,MD http://su.pr/25Dtco
7:07 PM - 12 Dec 2010|$20 for $40 Worth of German-Inspired Dinner Fare at Cafe Mozart Restaurant (or $10 for $20 Worth of Lunch Fare) @ DC http://su.pr/8Urq9L
10:11 AM - 6 Dec 2010|50% Off Pizza at Washington DC http://su.pr/1mgKkQ via @geoflake
9:48 AM - 23 Nov 2010|Get All your daily deals at one place. Check out http://su.pr/1ZQG7W #geoflake #localdeals
7:06 AM - 21 Nov 2010|Reach your local customers & build loyalty with great products & services. Promote your local deals for free http://su.pr/1ZQG7W @geoflake
7:05 AM - 21 Nov 2010|Please vote for geoflake on Mashable.com as the Most promising new company Click here to vote --> http://bit.ly/djbmjL #geoflake
8:46 PM - 17 Nov 2010|Up to 60% Off Spa Services at The Whole You Spa in Riverdale. Choose Between Two Options. at New York City http://su.pr/7X2jQb via @geoflake
8:44 PM - 17 Nov 2010|Just nominated geoflake for Most Promising New Company http://su.pr/3nqbnG #MashableAwards
8:17 AM - 15 Nov 2010|geoflake welcomes small businesses - Login into http://su.pr/1ZQG7W and promote your business deals.
8:07 AM - 15 Nov 2010|Small Business Viral Marketing - sign up with http://su.pr/1ZQG7W and promote your business . Its free and its easy. #viral #smallbusiness
7:13 AM - 15 Nov 2010|Please vote for geoflake on Mashable.com as the Most promising new company Click here to vote --> http://su.pr/2YbKAK #geoflake
2:18 PM - 14 Nov 2010|Please Vote for Geoflake.com at the Mashable Awards- http://www.mashable.com/awards/votes?c=40&v=geoflake
2:15 PM - 14 Nov 2010|Just nominated geoflake for Most Promising New Company http://mash.to/2ImZn #MashableAwards
9:20 PM - 12 Nov 2010|Today's Save: $20 for $40 worth of personalized kid's clothing and maternity tees from Mite Tees @ Buffalo http://su.pr/1qnw9o via @geoflake
9:19 PM - 12 Nov 2010|$60 for a Spa Package from Laser & Aesthetic Treatment Center in E. Amherst (Up to a $130 value) @ Buffalo http://su.pr/9vbgGl via @geoflake
8:34 PM - 10 Nov 2010|NASCAR Package: $149 - http://su.pr/22716W
8:32 PM - 10 Nov 2010|$10 for $20 Worth of European-Inspired Sandwiches at Aristo Cafe - http://su.pr/2MePZo
1:54 PM - 10 Nov 2010|Get 50-90% Off the best stuff your city has to offer. Amazing Daily Deals @ Restaurants, Spas, fitness & More! - http://su.pr/1ZQG7W#
1:53 PM - 10 Nov 2010|5-Day Mexico Adventure at Washington DC http://su.pr/1s7BRo via @geoflake
1:53 PM - 10 Nov 2010|$15 for $30 in Food and Drinks at Cafe of India at Washington DC http://su.pr/1mwKxp via @geoflake
9:43 PM - 3 Nov 2010|Why Men Should Not Write Advice Columns -http://su.pr/23d5vu
9:40 PM - 3 Nov 2010|Daily Deals Up to 98% Off - Save up to 98% Off Fashion, Spas, Travel & More - at http://bit.ly/ch5BeQ #geoflake
4:25 PM - 28 Oct 2010|Find local deals, events and news. Check out http://su.pr/1ZQG7W #geoflake #localdeals
10:57 AM - 28 Oct 2010|http://su.pr/1ZQG7W - what's happening around you...
10:51 AM - 28 Oct 2010|check out your local news @ http://su.pr/1gyTNy
7:35 AM - 28 Oct 2010|what happening near your city - http://su.pr/1gyTNy
7:32 AM - 28 Oct 2010|Deals, Events & News in your area - http://su.pr/1ZQG7W
7:31 AM - 28 Oct 2010|$15 for a 24x36 Custom Poster, Including Shipping, from PosterBurner - http://su.pr/1AOwrc
8:57 PM - 26 Oct 2010|Get 50-90% Off the best stuff your city has to offer. Amazing Daily Deals @ Restaurants, Spas, fitness & More! http://su.pr/6grJzm
9:53 PM - 24 Oct 2010|Get 50-90% Off the best stuff your city has to offer. Amazing Daily Deals @ Restaurants, Spas, fitness & More! http://su.pr/6grJzm
2:18 PM - 22 Oct 2010|Get 50-90% Off the best stuff your city has to offer. Amazing Daily Deals @ Restaurants, Spas, fitness & More! http://su.pr/6grJzm
8:12 AM - 22 Oct 2010|Interested in finding deals, events, news and checkins in your area. Check out geoflake.com. http://su.pr/1ZQG7W
7:05 PM - 21 Oct 2010|Find deals, events, news and activities in your area. Check out geoflake.com. - http://su.pr/1ZQG7W
7:02 PM - 21 Oct 2010|Get 50-90% Off the best stuff your city has to offer. Amazing Daily Deals at Restaurants, Spas, fitness and More! - http://su.pr/1ZQG7W
9:29 PM - 14 Oct 2010|Five Overrated TV Shows Summarized by One Line -http://su.pr/AetWu4
12:34 PM - 13 Oct 2010|Video: Marcus James, 21, Commits Suicide By Hanging Himself Live on the Internet - True Crime Report:  	 		This is... http://bit.ly/ctRdMs
6:18 AM - 13 Oct 2010|Jennifer Lyn Petkov Taunts 7-Year-Old Girl With a Degenerative Brain Disorder Over Faceboo... -http://su.pr/2kvWHN
6:17 AM - 13 Oct 2010|Video: Marcus James, 21, Commits Suicide By Hanging Himself Live on the Internet - True Cr... -http://su.pr/1oBwL4
10:56 AM - 12 Oct 2010|SNL's Mark Zuckerberg: My One Regret With Facebook Is Poking. Poking Is Creepy And Lame -http://su.pr/1UT6en
10:35 AM - 12 Oct 2010|4 Harvard Girls Create A Soccer Ball That Can Power A Lamp (Video) -http://su.pr/1hju1C
9:46 PM - 30 Sep 2010|Strangers Enter Into a Pact Online to Commit Suicide - AOL Health:  	Stephen Lumb and Joanne Lee found each other ... http://bit.ly/cBA0PL
9:16 PM - 30 Sep 2010|Strangers Enter Into a Pact Online to Commit Suicide - AOL Health -http://su.pr/5zQNDA
2:23 PM - 29 Sep 2010|The 50 Hottest Women of Sports: 1-10:  	 	Ok. Now we're in the top 10 and the sports world has never been more on ... http://bit.ly/bBMPFj
9:57 PM - 28 Sep 2010|The 50 Hottest Women from Spain: 10 - 1:  	 	10. Eugenia Silva 	This lawyer turned model is now the face of Giorgi... http://bit.ly/ci8zOo
9:18 PM - 28 Sep 2010|The 50 Hottest Women of Sports: 1-10 -http://su.pr/1yHA7F
9:15 PM - 28 Sep 2010|The 50 Hottest Women from Spain: 10 - 1 -http://su.pr/1y1zur
9:11 PM - 28 Sep 2010|Mayo Clinic hepatitis scare: Mayo Clinic worker put patients at risk for hepatitis - chica... -http://su.pr/2zu2NR
4:18 PM - 28 Sep 2010|We Nailed It! AOL Has Bought TechCrunch: Tech News  -http://su.pr/80TaLv
7:38 AM - 27 Sep 2010|Google Birthday Doodle:  	 	California, Sep 27: The search engine giant Google Inc has been celebrating its 12th b... http://bit.ly/cml0oQ
6:29 AM - 27 Sep 2010|Google Birthday Doodle -http://su.pr/2SSUaw
8:40 AM - 16 Sep 2010|Wife Says Husband Brian Wood's Last Act Saved Her and Their Unborn Baby -http://su.pr/2Pa89Z
10:18 AM - 15 Sep 2010|video games make you better at life  -http://su.pr/2sJAz3
10:02 PM - 14 Sep 2010|Amazon Kindle and Apple iPad Face Off in Commercial:  	 	There's no doubt that the Amazon Kindle is one popular an... http://bit.ly/bHlWe8
7:17 AM - 14 Sep 2010|On top of the burj dubai (world's new tallest building) - Brought to you by Dumpalink.com http://webclip.in/v/34AC425CAC
7:01 AM - 14 Sep 2010|Digg v4: Hot it All Went Down (Photo) http://webclip.in/v/5A44BB9C1C
6:58 AM - 14 Sep 2010|Amazon Kindle and Apple iPad Face Off in Commercial http://webclip.in/v/7B47D6ABF6
10:33 AM - 10 Sep 2010|EXCLUSIVE: Man Having Sex Change Operation To Look Like Lady Gaga -http://su.pr/2ix3mY
10:21 AM - 10 Sep 2010|Target to sell Facebook Credits gift cards - USATODAY.com -http://su.pr/1dkKEL
10:21 AM - 10 Sep 2010|Retro Car Goes From Canada to Mexico on a Single Tank -http://su.pr/5zow97
10:16 AM - 10 Sep 2010|It is impossible to lick your elbow.  - More fun facts @ http://su.pr/2C8IqO
10:16 AM - 10 Sep 2010|Very interesting stuff..must read ..... -http://su.pr/2C8IqO
5:01 PM - 9 Sep 2010|Federer and Nadal: Fit of Laughter During Shooting:   by       chitra http://bit.ly/aFkByU
5:51 AM - 9 Sep 2010|Federer and Nadal: Fit of Laughter During Shooting -http://su.pr/2xz2tA
6:50 AM - 2 Sep 2010|Digg v4: Hot it All Went Down:   by       fashionway http://bit.ly/b8y2CQ
3:51 PM - 1 Sep 2010|Digg v4: Hot it All Went Down (Photo) http://webclip.in/v/5A44BB9C1C
2:04 PM - 1 Sep 2010|Gmail Priority Inbox Sorts Your Email For You. And It's Fantastic. http://webclip.in/v/EB72DA0A9B
2:01 PM - 1 Sep 2010|Photo Essay: 18 Places to Feel Dwarfed by Nature http://webclip.in/v/E830E00653
7:40 AM - 1 Sep 2010|Kids reaction to worlds largest dead snake:   by       iamgame http://bit.ly/dpZ1j4
7:29 AM - 1 Sep 2010|Shashi Bellamkonda: 10 year old raising money for hungry kids: http://tinyurl.com/4onb9z http://webclip.in/v/4712E0DA71
7:26 AM - 1 Sep 2010|gMap - Google Maps Plugin For jQuery | About http://webclip.in/v/8A4358E209
7:23 AM - 1 Sep 2010|50% off Washington Nationals tickets for Sept. 6-8 & 10 http://webclip.in/v/78AD49959D
7:19 AM - 1 Sep 2010|Top 5 Genius Animals http://webclip.in/v/A827021371
12:01 PM - 31 Aug 2010|Paris Hilton Looking at Hard Time if Convicted of Cocaine Possession - FOXNews http://webclip.in/v/BAA10B1045
11:58 AM - 31 Aug 2010|Lindsay Lohan: I Was Irresponsible - Us Magazine http://webclip.in/v/FEA44B05DB
11:55 AM - 31 Aug 2010|Jimmy Fallon scores with Emmys' 'Glee' spoof - Los Angeles Times http://webclip.in/v/97C7BA4845
11:52 AM - 31 Aug 2010|Sandra Bullock: Son is my 'crown prince' - msnbc.com http://webclip.in/v/3C86C854FF
11:49 AM - 31 Aug 2010|Director resigns from DNR to join BP - Lake Expo http://webclip.in/v/EBCE043DD7
11:46 AM - 31 Aug 2010|Train wrecks, has-beens and more go 'Dancing' - msnbc.com http://webclip.in/v/30083630C7
7:22 AM - 31 Aug 2010|Lindsay Lohan Lashes Out at Her Father - CBS News http://webclip.in/v/49FE2C838F
7:19 AM - 31 Aug 2010|Caroline Giuliani sentenced to community service for shoplifting - New York Post http://webclip.in/v/32B42052AF
7:16 AM - 31 Aug 2010|Tiger Woods Embraces Bachelor Lifestyle - Entertainmentwise http://webclip.in/v/2FACF78A9D
7:03 AM - 31 Aug 2010|Paris facing felony drug possession charges - msnbc.com http://webclip.in/v/BA7D0C04D4
7:00 AM - 31 Aug 2010|'Takers' and 'Last Exorcism' switch places! - Hollywood.com http://webclip.in/v/95129B46A7
6:57 AM - 31 Aug 2010|'Temple Grandin' wins big at Emmys. But who is she? - Entertainment Weekly http://webclip.in/v/920C03CC87
6:54 AM - 31 Aug 2010|Barnes & Noble to Close Lincoln Center Store - Wall Street Journal http://webclip.in/v/5E6B072A82
5:15 PM - 30 Aug 2010|Virgin Airlines Fails To Commit Atrocities On Flight VX746:   by       iamgame http://bit.ly/cMFW72
5:15 PM - 30 Aug 2010|Technology Review: Q&A: Bill Gates:   by       iamgame http://bit.ly/acnq89
5:15 PM - 30 Aug 2010|A lifehacks infographic - Holy Kaw!:   by       iamgame http://bit.ly/aUccDa
5:14 PM - 30 Aug 2010|From M&A to R&D, Cloud is Driving IT Activity:   by       iamgame http://bit.ly/d3fwjy
2:10 PM - 30 Aug 2010|In Defense Of A/B Testing http://webclip.in/v/D3E4E00959
2:07 PM - 30 Aug 2010|Free Wireframing Kits, UI Design Kits, PDFs and Resources http://webclip.in/v/C2E8674BF2
2:04 PM - 30 Aug 2010|Blogging For Web Designers: Editorial Calendars and Style Guides http://webclip.in/v/06E8C50A44
2:01 PM - 30 Aug 2010|Indian Navy officer dies off Mumbai coast http://webclip.in/v/5C6FD0B650
1:58 PM - 30 Aug 2010|Police in action: Big B on blogger harassing him http://webclip.in/v/E1A9499DA4
1:55 PM - 30 Aug 2010|Virgin Airlines Fails To Commit Atrocities On Flight VX746 http://webclip.in/v/94881B13AA
1:52 PM - 30 Aug 2010|Technology Review: Q&A: Bill Gates http://webclip.in/v/42A9BFB855
1:49 PM - 30 Aug 2010|A lifehacks infographic - Holy Kaw! http://webclip.in/v/0A86E87FA1
1:46 PM - 30 Aug 2010|		  From M&A to R&D, Cloud is Driving IT Activity	 http://webclip.in/v/18F1EA24AA
1:35 PM - 30 Aug 2010|64 Percent of Young Women Would Release a Sex Tape to Get Ahead - Asylum.com:  	Our happy hour fact to amaze your ... http://bit.ly/cigCtD
1:35 PM - 30 Aug 2010|Proof Women are born this way!:   by       meghana http://bit.ly/b5iwKP
1:02 PM - 30 Aug 2010|10 Hottest Actresses Busted Blazing It Up -http://su.pr/2HNrR2
1:02 PM - 30 Aug 2010|64 Percent of Young Women Would Release a Sex Tape to Get Ahead - Asylum.com -http://su.pr/1SY0fG
1:01 PM - 30 Aug 2010|Proof Women are born this way! -http://su.pr/16wk21
1:32 PM - 29 Aug 2010|Foursquare Takes Over Times Square With A Massive Display Ad:  	 	In terms of brand recognition, it's hard to top ... http://bit.ly/d8b8wd
1:08 PM - 29 Aug 2010|Emmy Fashion Winners & Losers of the Past (Photo) http://webclip.in/v/5F7A449646
1:04 PM - 29 Aug 2010|Too Few Women In Tech? Stop Blaming The Men. http://webclip.in/v/574858A029
1:01 PM - 29 Aug 2010|Foursquare Takes Over Times Square With A Massive Display Ad http://webclip.in/v/1552B7F0FC
1:25 PM - 25 Aug 2010|Amazing Pictures Tob World Square, Nikko | Travel - Destinations, Guides, Family http://webclip.in/v/75E0DF2721
1:22 PM - 25 Aug 2010|Google Brings Google Voice to Gmail: Make and Receive Calls Right from Your Inbox http://webclip.in/v/D5F2D069DA
1:10 PM - 25 Aug 2010|Report: Lindsay Lohan released from rehab - Hollywood Reporter http://webclip.in/v/E49BA2C649
1:07 PM - 25 Aug 2010|Golfing star Woods set to tee off as single man - AFP http://webclip.in/v/5617C28B45
1:04 PM - 25 Aug 2010|Fantasia's 'Behind The Music' Addresses Career Highs, Life Lows - MTV.com http://webclip.in/v/5302BE2DB4
1:01 PM - 25 Aug 2010|TV's 'Lost' and Its Hero: Dead but Not Dead - New York Times http://webclip.in/v/949281FF88
12:58 PM - 25 Aug 2010|Warnings of gas-leak risk at BP well described at Gulf of Mexico oil spill ... - NOLA.com http://webclip.in/v/21D9FBC293
12:55 PM - 25 Aug 2010|Wormholes intrigue scientists studying BP spill - BusinessWeek http://webclip.in/v/CAD89F67B4
12:52 PM - 25 Aug 2010|Lindsay Lohan released early from rehab - Entertainment Weekly http://webclip.in/v/A2EF4F516A
12:45 PM - 25 Aug 2010|Spill panel examines offshore drilling policy - Reuters http://webclip.in/v/DAC55EC4C4
12:42 PM - 25 Aug 2010|Woods, wife Elin finalize divorce, will share c... - CBSSports.com http://webclip.in/v/6F9872B372
12:30 PM - 25 Aug 2010|'So scary.. just been woken by man with 2 big knives' PARIS HILTON YESTERDAY - Mirror.co.uk http://webclip.in/v/EFA223599A
12:27 PM - 25 Aug 2010|Any more Tigers on the loose? - Telegraph.co.uk http://webclip.in/v/A103E3ADE0
12:12 PM - 25 Aug 2010|Lindsay Lohan -- UCLA on $40ka Week - TMZ.com (blog) http://webclip.in/v/4FA2AED931
12:09 PM - 25 Aug 2010|Tattle: A Mrs. in the Universe upsets The Donald - Philadelphia Inquirer http://webclip.in/v/2831094892
12:05 PM - 25 Aug 2010|Danielle Staub to Face Off with Ex-Hubby - TMZ.com (blog) http://webclip.in/v/2442EA8E31
12:02 PM - 25 Aug 2010|Interest in BP Oil Spill Disaster Fading - The Epoch Times http://webclip.in/v/566550A3DA
11:50 AM - 25 Aug 2010|Awakened by knife-wielding intruder - New York Post http://webclip.in/v/BE02901E0D
11:47 AM - 25 Aug 2010|Early 'spring' for Lohan - New York Post http://webclip.in/v/6C704EF097
11:44 AM - 25 Aug 2010|Questions await Tiger Woods at FedEx Cup opener - Orlando Sentinel http://webclip.in/v/E3046ACB70
11:41 AM - 25 Aug 2010|Lindsay Lohan Reportedly Released from Rehab - FOXNews http://webclip.in/v/D1D0A01764
11:38 AM - 25 Aug 2010|Jenice Armstrong: Barrino's agony - Philadelphia Inquirer http://webclip.in/v/B06978382E
11:35 AM - 25 Aug 2010|Lindsay Lohan released from rehab, case due to return to court - USA Today http://webclip.in/v/F62F568AA8
11:32 AM - 25 Aug 2010|Tiger Woods plays happy families, days before signing divorce papers - Daily Mail http://webclip.in/v/4019EDF60C
11:29 AM - 25 Aug 2010|Elin Nordegren Speaks: 'I Feel Stronger Than I Ever Have' - People Magazine http://webclip.in/v/5CCF7E059F
11:25 AM - 25 Aug 2010|Paris Hilton 'intruder' arrested - BBC News http://webclip.in/v/6767ED2D47
11:22 AM - 25 Aug 2010|Auburn University - more BP oil spill remediation grants - Examiner.com http://webclip.in/v/F5DD67864E
11:11 AM - 25 Aug 2010|Lindsay Lohan Released From Rehab Early - Actress Archives http://webclip.in/v/5994C0E243
11:08 AM - 25 Aug 2010|Tiger Woods' Ex, Elin: I've Been Through Hell - CBS News http://webclip.in/v/B63E6F076C
11:04 AM - 25 Aug 2010|Heidi Montag's Breast Implant Woes - Huffington Post (blog) http://webclip.in/v/77BB77500E
11:01 AM - 25 Aug 2010|Heidi Montag talking business; Miley Cyrus moving ahead - Dallas Morning News http://webclip.in/v/ACFC051888
10:58 AM - 25 Aug 2010|Tiger Woods' ex-wife Elin Nordegren: 'I've been through hell' - Washington Post http://webclip.in/v/55DCD6FB50
10:55 AM - 25 Aug 2010|Elin to People: There was never any violence - USA Today http://webclip.in/v/8AB2F83BA1
10:52 AM - 25 Aug 2010|Montag blames surgery for split - Toronto Sun http://webclip.in/v/4CD00DAC5F
10:48 AM - 25 Aug 2010|The true fallout from the BP oil spill may be unimaginable - Macleans.ca http://webclip.in/v/34A1B12F31
10:45 AM - 25 Aug 2010|Kids of Sex Tape 'Stars' May Pay Price for Parents' Performance, Experts Say - FOXNews http://webclip.in/v/062107871C
10:32 AM - 25 Aug 2010|Efforts to Stop BP Oil Spill Faced Technical Obstacles - Newsinferno.com http://webclip.in/v/3B152D2B09
10:28 AM - 25 Aug 2010|BP Oil Spill Has Little Impact on Global Drilling - New York Times (blog) http://webclip.in/v/F1F04E8BB7
10:25 AM - 25 Aug 2010|Tiger Woods' ex: 'I've been through hell' - msnbc.com http://webclip.in/v/D7EA17D8DB
10:22 AM - 25 Aug 2010|Katie Holmes In Talks For Adam Sandler's 'Jack And Jill' Cast - MTV.com http://webclip.in/v/4433828BB2
10:19 AM - 25 Aug 2010|Britney Spears On Working With Lady Gaga: 'Anything's Possible' - MTV.com http://webclip.in/v/4A7A778B3D
10:16 AM - 25 Aug 2010|Tiger Woods' website removes divorce announcement - USA Today http://webclip.in/v/2204EEC513
10:13 AM - 25 Aug 2010|Angelina Jolie to Direct First Feature Film - Us Magazine http://webclip.in/v/CBE62B2DD4
10:10 AM - 25 Aug 2010|Oil Spill Commission Begins its Second Meeting - The Washington Independent http://webclip.in/v/1127874BC0
10:06 AM - 25 Aug 2010|Alleged synagogue bombers say FBI pushed them toward attack - NYPOST.com http://webclip.in/v/50FA05BD8B
10:02 AM - 25 Aug 2010|Amazing Straw Art | Energy Dimension http://webclip.in/v/448E57D622
9:49 AM - 25 Aug 2010|Elin Nordegren Breaks Silence: The Word 'Betrayal' Isn't Strong Enough - FOXNews http://webclip.in/v/DF7596020A
9:45 AM - 25 Aug 2010|His Back Pages Keep Turning: Album of Dylan Rarities Coming in the Fall - New York Times (blog) http://webclip.in/v/C3674FE7BA
9:15 PM - 24 Aug 2010|Miss Mexico wins Miss Universe pageant:   by       iamgame http://bit.ly/cUdSht
5:27 PM - 24 Aug 2010|Gulf oil spill: Halliburton employee cautioned BP about well design choices - Los Angeles Times (blog) http://webclip.in/v/13A8E659ED
