4:35 PM - 29 Nov 2015|Happy birthday to my two favorite travel buddies @RachelRoams and Jennifer from @LATravelMag 
11:59 AM - 12 Nov 2015|Hey travelers! My parents are in LA this weekend? Any recs? #travelhelp @rachelroams @spencerspellman
10:25 AM - 12 Nov 2015|Had so much fun teaching my last @BecomeAHost class of 2015. Lots of great work focusing on one thing at a time :)
7:25 PM - 11 Nov 2015|Perfect Hump Day combo! #Cheers pic.twitter.com/1UxvOkA7xG
2:56 PM - 10 Nov 2015|Before and After from my beauty pilot today #TransformationTuesday #tvhost  pic.twitter.com/QHVtmL1r2B
3:31 PM - 8 Nov 2015|I found Batman pic.twitter.com/8jIlGMxZnr
1:16 PM - 6 Nov 2015|In the hurt box after celebrating @BrettGursky bday yest- but so worth it! Happy birthday!  pic.twitter.com/GdLRwijrzY
8:32 PM - 5 Nov 2015|Halloween with the one and only @feddelegrand  #TBT pic.twitter.com/1GWW7wp5Q6
7:58 PM - 5 Nov 2015|I'm picking up some great radio stations right now @chromesalonLA pic.twitter.com/cc1x859m9X
11:36 AM - 5 Nov 2015|Dayummmmm  RT @rachelbleemer: Arm candy strong. @AndreaFeczko pic.twitter.com/ZsxSuxB0YW
6:48 PM - 4 Nov 2015|Love watching @lisaling on CNN taking part in the dance culture - I need to take her out and show her what Ultra is like 
4:05 PM - 3 Nov 2015|Gorgeous November colors #HappyNovember pic.twitter.com/3q35wdMDei
4:53 PM - 2 Nov 2015|There's an insane rainbow going on in LA! pic.twitter.com/VDo9Q8gqxS
3:55 AM - 1 Nov 2015|It's 4am and I'm retweeting @DalaiLama quotes-- that's what Vegas will do to you
3:30 AM - 8 Sep 2015|It's unrealistic to think that the future of humanity can be achieved through prayer or good wishes alone; what we need is to take action.
7:33 PM - 31 Oct 2015|Happy Halloween! From Sinderella pic.twitter.com/5sS6ON7ke3
5:38 PM - 30 Oct 2015|Big congrats to @arminvanbuuren on the release of his new album #Embrace - it's on repeat here in Vegas! #AnotherYou
12:26 PM - 30 Oct 2015|So this just happened #whathappensinvegas @polefitnesslv pic.twitter.com/MT2ImcmnDk
5:45 PM - 29 Oct 2015|How I feel about this weekend #IamSoExcited #ThrowbackThursday pic.twitter.com/k7GO582quN
12:01 PM - 28 Oct 2015|A10: There's nothing like the sushi at Tsukiji Fish Market in Tokyo @TripAdvisor #TravelToTaste pic.twitter.com/SuzKiREZgo
10:51 AM - 28 Oct 2015|It's #NATIONALILOVEYOUDAY - sending you some lurvvvvv  pic.twitter.com/6Mm9DXTosR
8:33 PM - 27 Oct 2015|Tuesday in Beverly Hills means getting styled and made up- I could get used to this @BrightonSalon @Oxygenetix pic.twitter.com/nKhmdoNy29
10:14 AM - 27 Oct 2015|Does anyone else wake up w swollen lips? #NotComplainingTho pic.twitter.com/iMwOjW4TpU
4:04 PM - 25 Oct 2015|Thanks for all the help you guys-- the yellow was a hit last night ;)
9:45 PM - 24 Oct 2015|Yellow or White? pic.twitter.com/qhtxS4kPA6
10:23 PM - 23 Oct 2015|I had so much fun hosting the Fall-Holiday Launch for #LaTravelMagazine - pick up a copy! pic.twitter.com/1exLp1BD3V
6:40 PM - 23 Oct 2015|Friday night yoga #NailedIt pic.twitter.com/yFEk2QVzie
12:42 PM - 23 Oct 2015|Punta Mita is one of my fave places in the world. My heart, thoughts, & prayers r with those in #Patricia's path  pic.twitter.com/JewD02aHZN
2:11 PM - 22 Oct 2015|I just saw the #PrideAndPrejudiceAndZombies trailer and immediately ordered the book. 1-10: How big of a nerd am I? @sethgs
5:05 PM - 21 Oct 2015|What are you going to be for Halloween?
8:19 AM - 21 Oct 2015|I think Marty McFly would approve. #BackToFutureDay #BTTF2015 pic.twitter.com/WdS44W5g6g
10:31 AM - 20 Oct 2015|Me vs Jetlag - no amount of white makeup can hide the disdain behind my eyes that I want to go back to bed #HostLife pic.twitter.com/X6IWUhbzqX
8:05 PM - 19 Oct 2015|This is me waiting for my girlfriends to get ready. I already told them they look gorgeous. #ICouldNeverBeAGuy pic.twitter.com/rdENyLMpCn
5:13 PM - 19 Oct 2015|Is anyone else's office going crazy with #StarWarsTheForceAwakens tix going on sale?
1:32 PM - 18 Oct 2015|Test drove the brand new @toyota #Mirai that emits WATER. So cool. This is the future! #hybrid #gogreen pic.twitter.com/WH4FfZmdWr
8:35 PM - 17 Oct 2015|This sums up my bday celebrations... pic.twitter.com/czZQuWdllX
5:42 PM - 17 Oct 2015|Today I am officially another year older. But I lost my ID so I have no proof of it. Oh the irony.
12:45 PM - 16 Oct 2015|The amount of garlic I ate during lunch means I'm safe from vampires for at least a good two weeks.
9:18 AM - 16 Oct 2015|I'm OBSESSED with minions! It should be no surprise I peed my pants after this picture #SquadGoals #Halloween pic.twitter.com/ge8N7evMWX
3:13 PM - 15 Oct 2015|Today is #NationalPugDay. My stuffed pug Winston and I say boo yah to the best holiday ever created  pic.twitter.com/pqj2yQ6ZPv
1:59 PM - 15 Oct 2015|This was not a bad office for the day #Tbt #Bali pic.twitter.com/IZ4kF0AUwa
8:18 AM - 15 Oct 2015|Eating salad for breakfast. I should get points in heaven for this pic.twitter.com/oMQgcV6d6K
5:25 PM - 14 Oct 2015|My bday is in a few days- I thoroughly plan to act my shoe size and not my age- wait what? pic.twitter.com/f9IUCfBuwK
8:44 AM - 13 Oct 2015|Technical difficulties on set mean I have time to perfect my Blue Steel pic.twitter.com/0HCoxDI1Yu
12:58 PM - 12 Oct 2015|Birthdays are out-- it's all about the week ;) pic.twitter.com/MW9umiBYOH
8:34 PM - 11 Oct 2015|Big thanks to @TourismFiji for inviting me to #FijiFashionWeek - now that I have the outfit-- can't wait to go! pic.twitter.com/3utQ5dVk2U
5:36 PM - 11 Oct 2015|#SelfieSunday Working those bright tropical vibes front row at #fijifashionweek @Keldotco pic.twitter.com/Hmd9k1igGE
5:09 PM - 11 Oct 2015|At the #fijifashionshow-- best place for a single girl #MoreLegPlease #LAFW  pic.twitter.com/Xv5Rt9uzuM
12:05 PM - 11 Oct 2015|#SelfieSunday photobomb edition -- can't wait for this video to be live #Ultrabali pic.twitter.com/RvKR82Bmcy
1:15 PM - 10 Oct 2015|I LOVE my job, but man, sometimes it looks like I'm going to battle #ultralive pic.twitter.com/B6sHkzMLeA
11:02 AM - 10 Oct 2015|Do they make Birthday Cake Oreo Cakes?? #SeriousQuestion #AskingForAFriend #ThatFriendIsMe
5:20 PM - 9 Oct 2015|Typical... :) @daddyissues_ pic.twitter.com/Iqcw1nBpqH
11:06 AM - 9 Oct 2015|Does anyone else lose weight when they're in hot climates? #BaliDoesTheBodyGood pic.twitter.com/34toFOAlwU
10:52 AM - 9 Oct 2015|I am eating a Bean Puff... Can't decide whether this is the worst or best name ever. pic.twitter.com/3zHpqQKqo9
10:17 PM - 8 Oct 2015|Love to celebrate #DopeWomen who are also the BOSS. Congrats Alyssa! @DOPE @RiotMediagrp pic.twitter.com/JVko3vnxti
12:00 PM - 8 Oct 2015|Am I going to work @theqyou this morning or for @nickyromero - my outfit wants to know #protocolswag pic.twitter.com/dtKSCGSsjI
5:45 PM - 7 Oct 2015|Listen up, kids #LifeLessons  pic.twitter.com/dkEGRqg6mV
12:33 PM - 7 Oct 2015|Robot Restaurant was by FAR the highlight of my Tokyo trip- big thx to @justinohmusic for arranging! Vid coming soon pic.twitter.com/00sodjH4oD
4:35 PM - 6 Oct 2015|DO NOT PISS OFF THE HAIR & MAKEUP ARTIST. 200F is nothing to play with #WordsofWisdom #TVHost @BowmanMakeup pic.twitter.com/xfhUulQEOE
3:25 PM - 5 Oct 2015|Me likey my makeup today- thanks @BowmanMakeup pic.twitter.com/9LA4tq5AZB
11:14 AM - 5 Oct 2015|The REAL *F* word pic.twitter.com/DKtFjszA23
8:05 PM - 4 Oct 2015|Now THIS is a Batmobile! Holy Crap. #ButWhereDoISit pic.twitter.com/BSikEN26u7
12:10 PM - 4 Oct 2015|Mindy Kaling gets me #SoulSisters pic.twitter.com/8imE7en3CU
12:25 AM - 4 Oct 2015|Early bday celebrations never get old ;) pic.twitter.com/xHEVaKAxcX
4:01 PM - 3 Oct 2015|Officially #Halloween month! What's your favorite scary movie?
12:02 PM - 3 Oct 2015|Who am I? #HalloweenInspo #IsItTooEarly pic.twitter.com/Fpen4ECvNc
11:32 AM - 3 Oct 2015|Supporting women's rights w @DaRealAmberRose @maggiegeha #SlutWalk   pic.twitter.com/p3uY3stBKJ
4:05 PM - 2 Oct 2015|Apparently my claim to fame back in Michigan is my @yoplaitgreek Commercial. I'll take it!!! #FBF pic.twitter.com/WXSZGjG6qR
12:03 PM - 2 Oct 2015|Am I doing this mirror selfie thing right? pic.twitter.com/6QEPMEo64O
10:19 PM - 30 Sep 2015|I love how a lot of you told me to solve my Being Locked Out problem by having a glass of wine. I took the advice. Thank you.
10:07 PM - 30 Sep 2015|Congrats to @TheQYOU on the one year anniversary of the launch! So honored to be working w such fun, talented ppl pic.twitter.com/2nAXSuzTkJ
8:17 PM - 30 Sep 2015|When jet lagged-- do not leave the apartment. Or at least leave WITH the keys #jetlagproblems pic.twitter.com/43jlqfmPoU
6:45 PM - 30 Sep 2015|Apparently on a role with the French thing today #OuiOui pic.twitter.com/B5CGe77gxg
11:58 PM - 29 Sep 2015|Okay the guy was right- this sh*t is on point #narita #terminal2 pic.twitter.com/sC1MdFID1b
11:41 PM - 29 Sep 2015|I asked if the Tokyo airport sushi was good- the guy looked at me w eyes saying yes, bitch, this is japan-I guess there r stupid questions
7:05 AM - 29 Sep 2015|So Ubud is like HipsterVille- but with backpacks and crystals. Thank goodness the wine is cheap  #bali #TravelTuesday
9:07 AM - 28 Sep 2015|Almost time to leave Bali #SayItAintSo
5:43 AM - 28 Sep 2015|Tonight I'm staying in a jungle with no joke a MONKEY FOREST around me. Pray for me I don't get rabies @GorgonCity pic.twitter.com/IC7duqehpu
5:25 AM - 28 Sep 2015|Traditional facial comes with a foot massage?! This would've been good to know years ago  #OnlyInBali pic.twitter.com/40kNpgnaKd
8:28 AM - 27 Sep 2015|Good night from Bali! #sweetdreams pic.twitter.com/YKdXyBDgvH
2:04 AM - 27 Sep 2015|Ok u guys- I originally got the pink one, but since everyone chose white-- I got both!! #ThatsHowDecisionsAreMade 
12:36 AM - 27 Sep 2015|White or pink? pic.twitter.com/4pdNaFVhEG
12:41 PM - 26 Sep 2015|last night's episode of #VacationChasers @AndreaFeczko and @RachelRoams was great!! this is my favorite show on friday nights!
7:08 PM - 26 Sep 2015|What?! My moves r on point! RT @TheQYOU: @Lisa_Lottie Andrea tried some of your moves. Something seems to be missing pic.twitter.com/EEuTnOaxLP
7:11 AM - 26 Sep 2015|While y'all be partying- I'm gonna be playing Star Wars monopoly-- bc STAR WARS MONOPOLY EXISTS?!?! pic.twitter.com/owUQT6GnX3
3:32 AM - 26 Sep 2015|@AndreaFeczko @RachelRoams Guess what I'm watching tonight...#VacationChasers pic.twitter.com/wGfKydpCeb
12:45 AM - 26 Sep 2015|This morning was mad real #help #UltraBali pic.twitter.com/mByxvzBT5D
8:53 AM - 25 Sep 2015|Lasers, temples, and techno - oh my! #UltraBali pic.twitter.com/Fsj6MpxdXY
6:01 PM - 23 Sep 2015|I just got kicked out of breakfast - that's poolside! - bc of my outfit. #WereNotInKansasAnymore #Bali pic.twitter.com/WJ5hvHjT6W
11:32 AM - 23 Sep 2015|Happy first day of autumn #GoodbyeSummer pic.twitter.com/lW0DG4SyNo
2:58 PM - 21 Sep 2015|Vegemite in Tokyo? I... Don't... Even... pic.twitter.com/4dxpcofWLV
6:32 AM - 21 Sep 2015|Thank you for watching the livestream! Good night from Japan!! 
2:31 AM - 21 Sep 2015|Day has turned to night in Tokyo--- so now things are about to get weiiirrrrrdddddd  #ULTRALIVE pic.twitter.com/A0sY7zJxQg
11:45 PM - 20 Sep 2015|Any questions for @DashBerlin ? #ultralive @UMFTV
10:08 PM - 20 Sep 2015|Any questions for @whoszed ?? #ZedsDead #ultralive @umftv
1:14 PM - 19 Sep 2015|Just FYI: To everyone who's trying to ban electronic music shows in LA- at a sold out Staples Center we've had 0 transports to the hospital.
1:18 AM - 20 Sep 2015|I look like I need to pee.... RT @NaikwadOmkar: @ultrajapan She's looking so Lovely #UltraLive pic.twitter.com/UIW81STbGK
11:27 PM - 19 Sep 2015|I'll be interviewing @nickyromero for the #Ultralive livestream- any questions for him? @umftv pic.twitter.com/E8mfaKR1aw
8:57 PM - 19 Sep 2015|Here's a little thank you jig for 100k! Altho my horrible dancing may make you want to unfollow me  pic.twitter.com/OTAQdaqYr2
8:50 PM - 19 Sep 2015|Woke up to a nice surprise! Over 100K followers! Thank you SO much!! pic.twitter.com/YTLKONXbPj
1:34 AM - 19 Sep 2015|Any questions for the one and only @arminvanbuuren? #ultralive @umftv pic.twitter.com/AMHHaczIHc
10:16 PM - 18 Sep 2015|@NaikwadOmkar @AndreaFeczko @ultrajapan @djafrojack 1:30 hours set yeahhhhhhhh  2:30 pm in India 
10:26 PM - 18 Sep 2015|Any questions for @justinohmusic ? @umftv #ultralive pic.twitter.com/zinc6NvNYd
4:35 PM - 17 Sep 2015|Ohhh.. so that's what they're for! #Namaste pic.twitter.com/39WxTFOjQr
3:51 PM - 17 Sep 2015|Good morning from Tokyo -- getting up early for a special surprise ;) pic.twitter.com/UeUAP2UWjD
4:10 PM - 16 Sep 2015|Prague #WanderlustWednesday pic.twitter.com/N6PpYcEHCB
1:30 PM - 16 Sep 2015|I'm ready for this 12 hour flight-- see you soon #UltraJapan! pic.twitter.com/uUU4mimYku
10:56 AM - 16 Sep 2015|Next stop: Tokyo! See you soon, @ultra family! #UltraJapan
4:55 PM - 15 Sep 2015|Today I am wearing a salad! Can you spot the veggies? #ImSerious  pic.twitter.com/NecQ9ptQNz
2:08 PM - 14 Sep 2015|Can't wait to see the Voice of Ultra in a few days! Follow him @damianpinto pic.twitter.com/XVscX2yTCh
7:01 PM - 13 Sep 2015|What should I watch on Netflix? #TooManyChoices
12:05 PM - 13 Sep 2015|#SelfieSunday with guest star @daAlexandraCase and my cleavage! Woot! pic.twitter.com/yzAjj6M78Z
9:10 AM - 13 Sep 2015|Not a bad sight to see first thing in the morning  pic.twitter.com/CY1I2u67nP
6:56 AM - 12 Sep 2015|saw #vacationchashers with @andreafeczko and @rachelroams last night. it's a great show!! i love this show!!!
12:33 PM - 12 Sep 2015|Spending my Sat editing a new @how2travelers video- it could be worse  #IShouldveBeenBornMale pic.twitter.com/CaXUEPatjE
7:16 PM - 11 Sep 2015|It makes me happy to see #vacationchasers on @hlntv  tune in now! pic.twitter.com/XaViD0MuSN
6:33 PM - 11 Sep 2015|If you miss tonight's double dose of #VacationChasers, you can catch @AndreaFeczko & @RachelRoams again tonight at 10pm/9c on @HLNTV!
6:01 PM - 11 Sep 2015|Catch @AndreaFeczko & @RachelRoams on #VacationChasers right now on @HLNTV!
4:50 PM - 11 Sep 2015|It's the weekend  #TGIF pic.twitter.com/8cVaXY63Tj
11:47 AM - 11 Sep 2015|Boob Game on Fleek @TheQYOU #CallinItLikeISeeIt  pic.twitter.com/ZJjHJ1t32a
6:50 PM - 10 Sep 2015|Can't wait for more good times at @UltraJapan  @kryoman @ryanmarciano #TBT pic.twitter.com/s5otWFQG3M
10:57 AM - 10 Sep 2015|Hell ya man! #VacationChasers RT @clay_brice: I know what I'm doing tomorrow: more Vacation Chasers! pic.twitter.com/NepySmi6vH
5:47 PM - 9 Sep 2015|Oh gosh- I have so far to go  RT TheQYOU: Andrea is learning how to shuffle thx to @Kryoman How's she doing so far?? pic.twitter.com/QN29jd2lKf
1:40 PM - 9 Sep 2015|There is a reason why its called The City of Glass #Vancouver #WanderlustWednesday pic.twitter.com/WsaDv77oP8
4:40 PM - 8 Sep 2015|This is where I will be in a few weeks #ToughLife #Bali pic.twitter.com/RH9u2IK6NW
5:37 PM - 7 Sep 2015|Happy Bday to the amazing @feddelegrand #PutUrHandsUpForDetroit  pic.twitter.com/POp1OeWLxN
2:45 PM - 7 Sep 2015|Learning how to relax from these Aussies- they're the masters #HappyLaborDay #Malibu pic.twitter.com/ANXWBuecx7
2:00 PM - 7 Sep 2015|How I start everyday pic.twitter.com/s1TAoaslFe
10:49 AM - 7 Sep 2015|Happy #LaborDay!
6:07 PM - 6 Sep 2015|This flight is going to be HOT!!  literally. The AC is broken.. And I forgot to put on deodorant pic.twitter.com/5WCxcI7IsB
5:02 PM - 6 Sep 2015|Peace out Chicago-- it's been an awesome 24 hours! #SelfieSunday #LaborDay pic.twitter.com/ZSfBaNaBVe
8:27 PM - 5 Sep 2015|Taking #chicago by storm tonight-- any recs?
3:14 PM - 5 Sep 2015|Strawberries or blackberries?
1:31 PM - 4 Sep 2015|Love how practical this is pic.twitter.com/CcsrTQNM3S
8:02 AM - 4 Sep 2015|Googled Most Beautiful Place in the World and this came up- Google is on point! #Google #travel pic.twitter.com/mdYCTp8YYW
6:59 PM - 2 Sep 2015|Abt to teach my second @BecomeAHost class! Producing meets hosting 101 
6:45 PM - 2 Sep 2015|All I need is this view and a Vespa - Naples, Italy #WanderlustWednesday pic.twitter.com/UYO8uWEOOH
11:01 AM - 2 Sep 2015|All this for an AC unit #SummerHeatDoesntStandAChance @TaskRabbit pic.twitter.com/delysU7gNC
11:23 AM - 1 Sep 2015|Today I am #SportySpice  #DontBeAfraidOfTheseGuns pic.twitter.com/NEaKU3rsSs
2:14 PM - 31 Aug 2015|This dog has the right idea! #TooHotOutside #IamMelting pic.twitter.com/trTFOHqhkd
1:18 AM - 31 Aug 2015|6 Rows back from @KimKardashian and @kanyewest at the #VMAs2015 pic.twitter.com/DuPGTIrex7
3:32 PM - 30 Aug 2015|On my way to the VMAs!!! #MileyVMAs pic.twitter.com/FRxJGeJjg6
5:20 PM - 29 Aug 2015|I'm at a castle right now. Not joking. pic.twitter.com/OVzAUAeCZp
6:40 PM - 28 Aug 2015|Those that guessed Hot Legs - ding ding ding!! Better luck next time @Seral225 @BlakeX10 
12:30 PM - 28 Aug 2015|Hot dogs or hot legs? pic.twitter.com/84c7i4hHTm
2:37 PM - 27 Aug 2015|I photoshopped them to make it less intimidating  RT @TheQYOU: Andrea thinks she's got bigger arms than Dominik Sky pic.twitter.com/WZpT7lEt8q
10:27 AM - 27 Aug 2015|Rachel is single-handedly bringing back The Jorts #Ummmm @how2travelers pic.twitter.com/smY4VwECil
6:42 PM - 26 Aug 2015|Today is #NationalDogDay and my FB feed was still filled with engagements and babies #FML
6:14 PM - 26 Aug 2015|Getting ready for the @TheQYOU office party w @BowmanMakeup #WorkIt #TVHost pic.twitter.com/5fytuaiR8z
11:46 AM - 26 Aug 2015|Stairway to heaven? #WanderlustWednesday pic.twitter.com/XJlmH1VNpG
8:25 PM - 25 Aug 2015|Dream travel destinations? Go! #TravelTuesday
11:08 AM - 24 Aug 2015|I feel you, little guy ;) #MotivationMonday pic.twitter.com/7F53fiYImp
6:41 PM - 23 Aug 2015|We Are Your Friends-- the drunk, obnoxious ones... #SixtySundays #WAYF @WAYFMovie pic.twitter.com/ndnKgQUPYc
5:05 PM - 23 Aug 2015|Fun times with the parents this weekend-- see the resemblance? @lacma pic.twitter.com/YMpoIEdWCr
10:05 AM - 23 Aug 2015|How I feel right now #SundayFunday #CarltonDance :D pic.twitter.com/HTpIpP8e6n
3:50 PM - 22 Aug 2015|Leaves changing color #ThingsThatDontExistinLA pic.twitter.com/AgrQcWfVwh
5:30 PM - 21 Aug 2015|Jazz sounds so much better with a bottle of rose, plastic cups, and TURKEY jerky  #JazzatLACMA pic.twitter.com/9G8ZJmy4gq
6:04 PM - 20 Aug 2015|I just got this as a DM. Ummm, at least it's not a dick pic?  pic.twitter.com/efKGlzu7KJ
3:55 PM - 20 Aug 2015|Help! I need more pillows! Seriously people. pic.twitter.com/ImlW31cXuW
6:50 PM - 19 Aug 2015|Best to just own it ;) pic.twitter.com/f2BWYpUOWL
2:05 PM - 19 Aug 2015|A glow in the dark beach in the Maldives #YesPlease #WanderlustWednesday pic.twitter.com/Wb65TpRBhl
6:36 PM - 18 Aug 2015|My new running path doubles as a tourist trap #ButFirstLetMeTakeASelfie pic.twitter.com/lR8z3mhjhQ
12:53 PM - 17 Aug 2015|Just found this gem on the interwebs. The worst part is-- I'm actually wearing heels #tbt @ultra @arminvanbuuren pic.twitter.com/jHnce8fnXK
11:04 PM - 16 Aug 2015|Goonies Poolside-- major nostalgia happening @BrettGursky @daAlexandraCase pic.twitter.com/JSJthIxi7H
12:40 PM - 16 Aug 2015|Gandhi? Dalai Lama? Oprah? I get my inspiration from a Rainbow Unicorn. And he f***ing rocks!  pic.twitter.com/w9I82bYTVa
7:13 AM - 16 Aug 2015|Up early- working on a Sunday #DontBeJealous  pic.twitter.com/JlkEmbbOeB
5:45 PM - 15 Aug 2015|Saturdays in Malibu #WishYouWereHere pic.twitter.com/hdoLNvy4c7
12:27 PM - 15 Aug 2015|Ross and Rachel or Chandler and Monica? #Friends
7:05 PM - 14 Aug 2015|Trying to do my best #Beyonce - I failed miserably pic.twitter.com/gPQyUt4VXA
7:55 PM - 13 Aug 2015|Heaven on earth. Good night from Malibu  pic.twitter.com/RnvWN71pem
7:55 PM - 13 Aug 2015|New life goal: F being a Disney Princess, I want to be the QUEEN #TheySeeMeRollinTheyHatin pic.twitter.com/pe0bncvJQR
12:47 PM - 13 Aug 2015|Proving the Office AC is Sexist article true. THAT or I need to eat more burgers. @washingtonpost pic.twitter.com/MGsLBhz1s0
10:06 AM - 13 Aug 2015|I had so much fun teaching my first hosting/producing class at @BecomeAHost - thx for the fun times! pic.twitter.com/8E2msWsNa1
5:45 PM - 12 Aug 2015|I'm having a great day today. Probably has something to do with that can of @redbull I chugged this morning pic.twitter.com/eD0BfKQb5E
4:44 PM - 12 Aug 2015|Teaching my first @BecomeAHost class tonight! Can NOT wait to meet all my students #TVHost
11:57 AM - 11 Aug 2015|What should I wear? #TheStruggleIsReal pic.twitter.com/e1VCjhj2wF
4:52 PM - 10 Aug 2015|I walked into the office and I got a palm reading! #WTF #hostlife @theqyou pic.twitter.com/MTbYEyHPDL
9:37 AM - 10 Aug 2015|When #StraightOuttaCompton met Malibu this weekend...  pic.twitter.com/kiFURD4e3u
10:15 AM - 8 Aug 2015|When you really wish you studied a foreign language in high school #huh??? #korea pic.twitter.com/O8M55ZKh1N
2:55 PM - 7 Aug 2015|Kisses from my cubicle at @theqyou  pic.twitter.com/jvdVsMjWTd
9:00 AM - 7 Aug 2015|My spirit animal and I are ready for the weekend #TGIF pic.twitter.com/57EWEdhWcE
7:55 PM - 6 Aug 2015|Zack or Slater? #SavedByTheBell
2:55 PM - 6 Aug 2015|Hello from the hotel aka my home away from home  #travellife pic.twitter.com/3djexVLaVA
10:00 AM - 5 Aug 2015|This little guy and I are on the same page #HumpDay pic.twitter.com/KkYD0BBeZI
3:29 PM - 2 Aug 2015|Rain Rain Go Away! Get me back to LA #rhymeskillsonpoint  pic.twitter.com/FQOIHyCF4k
9:45 PM - 31 Jul 2015|I like tomorrow #Korea #Ultra pic.twitter.com/FvltXIAsh2
8:09 AM - 30 Jul 2015|#TBT Taking selfies with guards. Just trying to bring them into the 21st century #Korea pic.twitter.com/3s0qVGqbnm
2:15 PM - 29 Jul 2015|My best friend from childhood made this for me.. I don't know whether to laugh or cry at the accuracy @adgloden pic.twitter.com/GTilV9lpTT
8:05 AM - 29 Jul 2015|Can you hear me now? @HLNTV pic.twitter.com/RXdTAQL5zf
3:05 PM - 27 Jul 2015|If I didn't know any better I'd swear I'm about to shoot a sex scene #CreepyCameras pic.twitter.com/OdUii7furv
10:05 AM - 27 Jul 2015|The Andrea Feczko on set survival kit: water, @emergenc, @lunabar, people to laugh at my jokes pic.twitter.com/EuxviQnkwf
11:05 AM - 26 Jul 2015|Multi-tasking: hair and selfie #selfiesunday pic.twitter.com/QFL5nsAj5G
3:57 PM - 25 Jul 2015|Spa day with my BFF @vipeel Sun, Rose, Massages FTW  @SofitelLA pic.twitter.com/FTXa8CDgLw
11:01 AM - 25 Jul 2015|I felt left out with no gym selfies #TryingToBeOneOfTheGuys pic.twitter.com/xTeidDDttJ
10:05 PM - 24 Jul 2015|#fbf @diplo and @dillonfrancis getting crazy at #UltraEuropePoolParty #EDM pic.twitter.com/ZcofYg8mD3
8:02 PM - 24 Jul 2015|Had a rough week. Thanks for all the support and comments cheers to you pic.twitter.com/vrVjy54UJ9
1:49 PM - 24 Jul 2015|Having a HORRIBLE day. Went to clear my head- ran into a sample sale. God does exist  @Frame_Denim pic.twitter.com/xns9xubxsM
12:55 PM - 24 Jul 2015|TelePrompTer. The devil and an angel all in one #TVhost pic.twitter.com/YCUCyDO9sf
12:55 PM - 23 Jul 2015|Hooray! I put together the weirdest work outfit ever! @theqyou pic.twitter.com/BJWT6QFLYF
1:40 PM - 22 Jul 2015|I'm ready for my close up @theqyou pic.twitter.com/s4Uey0EWvS
11:25 AM - 22 Jul 2015|My favorite kind of fruit ;) pic.twitter.com/7AGS1zgtVZ
7:30 PM - 21 Jul 2015|AFTER- I'M FREE! #nomakeup #TransformationTuesday pic.twitter.com/UXPM2dF5Gx
12:31 PM - 21 Jul 2015|BEFORE- #TransformationTuesday @theqyou pic.twitter.com/S90vMcEw3N
1:39 PM - 20 Jul 2015|Love these girls!!! #dirtythirtysundayfunday #Girls @AndreaFeczko @DirtyandThirty pic.twitter.com/9wJZduX91j
9:10 AM - 20 Jul 2015|Back at @theqyou everyone say CHEEESE pic.twitter.com/ZLdpUvazgj
