4:03 PM - 29 Nov 2015|being a progressive wasn't any funny, anyhow.
12:36 PM - 27 Oct 2015|and a feminism/egalitarianism argument and some arsehole who wrote a load of j.alfred prufrock quotes on the desk
8:48 AM - 5 Nov 2015|No funny y'all stop him pic.twitter.com/MOtawuG3VH
12:53 PM - 27 Oct 2015|If you make up your mind to be happy, no one and nothing on earth can take that happiness from you. #quotes
8:49 AM - 5 Nov 2015|Torii Hunter's first two words on Jim Leyland in his retirement press conference: Oooh. Funny.
1:04 PM - 27 Oct 2015|The intellectuals of 1968 hunted through the social world for the marks of power, in order to declare their rebellion against it
1:06 PM - 27 Oct 2015|Do what you do so well that they will want to see it again and bring their friends. - Walt Disney #quotes pic.twitter.com/VhnHoM1gdo
2:08 PM - 27 Oct 2015|To be idle is a short road to death and to be diligent is a way of life; foolish people are idle, wise people are diligent.
2:15 PM - 27 Oct 2015|When you love someone, you don't ever give up.
8:53 AM - 5 Nov 2015|This Benzema situation is really funny. Not for Valbuena though
3:44 PM - 27 Oct 2015|90% of my tweets are direct quotes from Mike. Idk what goes through his head. But its gold.
4:00 PM - 27 Oct 2015|The eye sees only what the mind is prepared to comprehend. #quotes #wisdom
4:00 PM - 27 Oct 2015|You don't see successful people posting 'inspirational quotes'.
4:00 PM - 27 Oct 2015|Fleas can be taught nearly anything that a Congressman can.~ Mark Twain #Quotes
4:10 PM - 27 Oct 2015|Your attitude, not your aptitude, will determine your altitude. - Zig Ziglar #Quotes #QuoteOfTheDay
9:00 AM - 28 Oct 2015|Embrace uncertainty. Some of the most beautiful chapters of our lives won't have a title until much later.
9:01 AM - 5 Nov 2015|I think it's so funny to see someone you always see at parties fucked up walking out of class like a decent human 
9:20 AM - 5 Nov 2015|Just setting up my Twitter. #myfirstTweet
