10:06 AM - 30 Nov 2015|I believe the leading causes of alcoholism are holiday dinners with the relatives 
3:25 PM - 9 Oct 2015|It's almost the time of year when I have to explain to young people why Halloween is much better movie than Paranormal Activity 
3:19 PM - 9 Oct 2015|wedding seating USHER Bride s side or groom s side ME It doesn t matter I hate them both equally for ruining my weekend 
7:34 AM - 4 Oct 2015|The most unbelievable thing I have ever seen in any horror movie is someone starting their chainsaw on the first pull 
7:31 AM - 4 Oct 2015|I have realized if you're laying in bed eating a snack it really doesn't matter how bad the movie is It's still a good night 
2:20 PM - 25 Sep 2015|Use your phone to go to dominos website create a pizza use an emoji and order a pizza for delivery You could also use your phone to talk 
9:47 AM - 25 Sep 2015|@chadthornsberry thanks to you my comedy id If my ego would ever leave the trailer park 
8:48 PM - 24 Sep 2015|To all the @mlb experts that picked the Royals to finish 2nd 3rd or even 4th in our division Yeah nice call #keepdoubting 
10:41 AM - 24 Sep 2015|Starting tonight through Saturday Back in Columbia @DejaVuComedy One of my favorite rooms Come check out the show 
1:04 PM - 23 Sep 2015|I prefer to be selfish I like to pay it backwards 
7:57 PM - 21 Sep 2015|What do you call those guys that build a wrestling ring behind their house so they can fight their friends Oh that's right unemployed 
7:14 PM - 20 Sep 2015|Waiting for a category at the Emmys where I know one show When do they get to the rerun law and order criminal intent SVU category 
11:58 AM - 19 Sep 2015|Tonight we have @chadthornsberry @HippiemansPlan for 2 must see shows at 7 30 10 30 Call 316-618-4242 to reserve pic twitter com nnmHLE6YCh 
11:40 AM - 19 Sep 2015|Cop I pulled you over for having both hands off the steering wheel Me I was air drumming to In The Air Tonight Him ok Have a nice day 
7:44 AM - 19 Sep 2015|2 more shows tonight @LoonyBinWichita Come check us out Great show 
7:37 AM - 19 Sep 2015|Maybe if she wasn't always on a midnight train going anywhere she wouldn't be living in a lonely world 
7:33 AM - 19 Sep 2015|Not to sound insecure but what did I do to the person following 26 people that should want ANYONE to follow them and won't accept me 
11:20 PM - 16 Sep 2015|You know it's a bad time financially when you pay for something with 3 2 dollar bills 
7:20 AM - 19 Sep 2015|Not to sound insecure but what did I do to the person that follows 465k people but won't follow me 
7:17 AM - 19 Sep 2015|To this day I have never been more amazed than when a kid showed me he could punch a few numbers on a calculator flip it and spell BOOBS 
6:53 AM - 25 Sep 2014|wife know what today is me yep wife on 2 together 1 2 wife Happy Anniver me 3 MONTHS UNTIL wife sary me wife me Santa 
7:17 AM - 18 Sep 2015|Because I've had it for 15 years is NOT a reason to keep something It was worthless crap 15 years ago but hasn't increased in value 
7:16 AM - 18 Sep 2015|Want to test your marriage Try having a yard sale and agreeing on what is junk and what isn't Our marriage license might end up for sale 
7:11 AM - 18 Sep 2015|I need to scrape together 2 25 cents do I can buy back some of my treasures my wife put in the community yard sale 
6:56 AM - 18 Sep 2015|It just bothers me when people insist on trying try to act like they are still 22 I say as I'm out with a friend at 2 am eating pizza 
3:57 PM - 17 Sep 2015|Am I the only person on here NOT tweeting about politics 
7:07 PM - 16 Sep 2015|I texted my wife from the other room and told her she was incredibly sexy Her reply Who is this and that's why she's the best 
6:38 PM - 16 Sep 2015|Exactly when did a potato stop being considered a vegetable And if you reply using the word starch in any way we aren't friends 
6:21 PM - 16 Sep 2015|I know there are important issues facing us today I still choose to tweet about bacon sports and 80's music 
6:19 PM - 16 Sep 2015|Stethoscopes That's what it took for all you people to realize how stupid @TheView is Most of us realized that years ago 
6:02 AM - 12 Sep 2015|Two great shows last night 2 more on deck tonight w @chadthornsberry headliner @LilRel4 @ClevelandImprov http www clevelandimprov com #comedy 
5:19 AM - 11 Sep 2015|If you're over the age of 8 and still use the word tummy you need punched in it 
3:46 PM - 23 Aug 2012|An erection - Where Japanese people vote 
5:16 AM - 11 Sep 2015|Kids in school that said I'll be your friend if you be my friend that we made fun of They are the ones with 180k @twitter followers now 
12:14 PM - 8 Sep 2015|Almost NFL time Time for people with no extra money to gamble it away because they think they have found a system 
3:48 PM - 7 Sep 2015|If I owned an anaconda Id only serve him food that had buns with it Hun 
3:33 PM - 7 Sep 2015|Why do I want more people to be in contact with me online and fewer people to be in contact with me in real life 
3:28 PM - 7 Sep 2015|I have learned the best way to annoy people is to be ahead of them driving the speed limit 
4:11 AM - 2 Sep 2015|I hated people WAY before it was cool to hate people 
9:07 AM - 5 Sep 2015|Hey I'm new to social media Find me at MySpace 
12:27 PM - 3 Sep 2015|I was going to start being a vegan But then I realized I wasn't a pretentious asshole 
6:43 AM - 3 Sep 2015|Any chance @twitter has a Caitlyn Jenner Kardashian Kanye filter that I missed 
7:47 PM - 2 Sep 2015|I am tired of kids calling me old Let me crank my @QUIETRIOT cassette tape and we'll see who looks old then 
7:27 PM - 2 Sep 2015|If you see a van rocking maybe they just need to see a mechanic Pervert 
7:00 PM - 30 Aug 2015|I feel like I'm living a real life version of Monopoly You add up all the money I have and it's essentially worthless 
2:53 AM - 8 Mar 2013|I am having an out of money experience 
7:59 PM - 28 Aug 2015|I'm laying in bed at 930 on a Friday night And that is not something I'm ashamed of 
7:24 AM - 28 Aug 2015|I played yard darts I survived By today's standards I'm either insane invincible or should have been taken away from my parents 
7:15 AM - 28 Aug 2015|I booked my own show for December I've been doing comedy too long when I have to watch my own tape and I don't get myself a hotel room 
7:16 PM - 27 Aug 2015|If you're still asking wondering who is hotter Ginger or Maryanne The correct answer is Kate Upton 
7:12 PM - 27 Aug 2015|Did they ever get Ubu to sit finally 
7:06 PM - 27 Aug 2015|Heard John Gruden on @espn today He does a great impression of @FrankCaliendo 
2:21 PM - 26 Aug 2015|Whimsical Wednesday- @Stonewall_77 @ResistTyranny @hippadrone @gobudley @DeborahLovesUSA @peddoc63 pic twitter com gvp7FUM2fX 
7:31 PM - 26 Aug 2015|Not to brag but I've won the same number of majors in the last 6 years as Tiger Woods 
7:20 PM - 26 Aug 2015|Got yelled at at a gas station for taking coins from the take a penny tray Not my fault they didn't have the 22 dollars I put in my tank 
11:01 AM - 24 Aug 2015|Super follow Monday Follow these amazing tweeters Namaste #muchlove @JoeEliseon @chadthornsberry @AuthorFMLongo @rlnorrington 
9:44 AM - 22 Aug 2015|I caught myself watching a movie on lifetime and eating heated up Little Caesars Pizza Most people dont notice when they hit rock bottom 
4:11 PM - 20 Aug 2015|I'm hot sticky sweet From my head to me feet Maybe you should take a bath 
8:52 PM - 21 Aug 2015|Had a woman tell me tonight that she thought the first comedian really sucked I was the first comedian 
10:21 AM - 21 Aug 2015|Are you the person that gets change at the gas station and stands there organizing it with people behind you You should be in prison 
7:50 PM - 20 Aug 2015|If you want your words to have more meaning then try using fewer of them 
7:50 PM - 19 Aug 2015|It's a marathon not a sprint -a quote from everybody about everything 
5:32 PM - 19 Aug 2015|You know what you learn in college You learn that colleges are out to make money 
7:10 AM - 19 Aug 2015|Anybody that has ever asked when will you be playing close to home I'll be in Waynesville Dec 18 19 @ theater on the square 
7:14 AM - 18 Aug 2015|Going to be in Cincy tonight to watch @Royals play the Reds Traveling for work does have an occasional advantage 
6:26 AM - 18 Aug 2015|Told a guy that I don't know why I'm so antisocial He said technically you mean you're asocial Oh yeah Now I remember why 
4:27 PM - 17 Aug 2015|This Andy Griffith episode first aired in 1962 It's still the best thing on tv tonight in 2015 
11:53 AM - 14 Aug 2015|How my wife controls the car AC Turn it all the way up until it gets too cold Then turn it off until it gets too hot Repeat entire trip 
4:13 PM - 17 Aug 2015|It's amazing that all these people that made millions in one easy step online are so bored that they are on Twitter talking about it 
12:26 PM - 17 Aug 2015|Just saw a woman in Walmart wearing shorts that were probably a size 4 Unfortunately her ass was a size 24 
8:25 AM - 17 Aug 2015|They don't boo anymore when the wheel doesn't go all the way around on The Price is Right That's an example of what's wrong in this country 
10:41 AM - 15 Aug 2015|2 more shows tonight with the hilarious @roywoodjr Come see us at the @daytonfunnybone tonight 
10:40 AM - 15 Aug 2015|I think the movie Teen Wolf is based on fact It is completely believable 
9:42 PM - 14 Aug 2015|I wish billy idol would come out with his own crayons just so one of them would be called rebel yellow 
10:15 AM - 14 Aug 2015|It would be much easier to take you seriously if you would quit taking pictures of your eye 
9:52 AM - 14 Aug 2015|2 shows tonight @daytonfunnybone with the hysterical @roywoodjr come check us out 
11:46 AM - 13 Aug 2015|A lot of gym fitness people have started following me That means either those people enjoy my comedy or a lot of people think I'm a fatass 
3:47 PM - 11 Aug 2015|Hey @daytonfunnybone people I'm back in Dayton this Thursday-Sunday Working with the hilarious @roywoodjr He's one of the best Come out 
5:44 PM - 9 Aug 2015|The darker it gets outside is directly proportional to how loud my dogs bark 
8:17 AM - 9 Aug 2015|I have never known anyone that @facebook has suggested as people you may know 
8:15 AM - 9 Aug 2015|Stop making inside jokes on your Twitter feed Or I'm going to have to go all car muffler on you James knows what I mean 
7:32 AM - 9 Aug 2015|Are you thinking what I'm thinking I have never got that right 
8:41 PM - 7 Aug 2015|Plot twist everybody quits making stupid jokes involving the words plot twist 
4:51 PM - 3 Aug 2015|I'm going to play continuous songs from the group that did More than a Feeling I'm going to call it a Boston Matathon 
11:15 AM - 28 Jul 2015|Checking hotel and there are a ton of 12 year old girls around They shouldn't be allowed I don't mean at a hotel I mean in public ever 
10:42 AM - 28 Jul 2015|I would never let my friends set me up on a date If they are friends with me that shows they are prone to making bad decisions 
6:13 AM - 27 Jul 2015|Just listened to the Chuck Berry remake version of Marty McFly's Johnny B Good 
10:01 AM - 25 Jul 2015|Get out to @PenguinsComedy tonight to see @chadthornsberry at 8 00 
11:24 AM - 24 Jul 2015|I'm doing shows tonight in Cedar Rapids So is @rodstewart and @cheaptrick I wonder if they are worried about me stealing their crowd 
11:20 AM - 24 Jul 2015|Thanks to @1007TheFox for having me on Good time Thanks again 
10:19 AM - 24 Jul 2015|Hey kids I'm emceeing @PenguinsComedy tomorrow night for the @chadthornsberry show We're prolly gonna get an apartment later 
9:45 AM - 24 Jul 2015|@chadthornsberry thanks for coming on See you tonight @PenguinsComedy 
9:42 AM - 24 Jul 2015|Going to be on 100 7 The Fox around noon promoting the weekend shows @PenguinsComedy listen then come out @1007TheFox 
7:09 AM - 24 Jul 2015|Science discovered an Earth twin except for the gravity heat age and proof of life By that logic I'm also the twin of Channing Tatum 
7:08 AM - 24 Jul 2015|Scientists trying to learn what the Earth will be like in 2 000 years I'd rather know what the traffic on I-380 will be like in 2 hours 
7:00 AM - 24 Jul 2015|Thanks to @cbs2iowa for having me on this morning Really fun time Thanks everybody 
6:55 AM - 24 Jul 2015|Hey guys come out to @PenguinsComedy this weekend Friday and Saturday Great club to watch stand up comedy 
6:45 AM - 24 Jul 2015|Is Follow Friday still a thing You all should follow this weekend's headliner @chadthornsberry #FF 
2:14 PM - 23 Jul 2015|I'm watching a marathon of How it's Made It looks like the one thing they can't make is me having an interesting story 
5:39 AM - 23 Jul 2015|I had a dream where I was looking up the meaning of a dream 
5:38 AM - 23 Jul 2015|It seems a ton of people are so concerned about me socially that they have at least 10 000 real people that want to be my friend For 12 99 
7:32 AM - 22 Jul 2015|Stop out this weekend to see our fantastic headliner @chadthornsberry Shows start at 8 00 on Friday and Saturday 
9:54 AM - 19 Jul 2015|Thornsberry Have you heard of the show The Wild Thornberrys #GrowingUpWithMyName 
7:11 AM - 20 Jul 2015|Making an omelet today and grabbed @Glade air freshener instead of cooking spray Didn't taste that great but smelled terrific 
9:57 AM - 19 Jul 2015|Watched a documentary about ways that murderers avoid police detection Shockingly Not Killing People didn't make the list 
9:25 AM - 19 Jul 2015|I want to wreak something other than havoc 
7:55 PM - 17 Jul 2015|Thanks to everybody that purchased my CD I appreciate it I broke on the iTunes top selling album chart for a brief time Thanks so much 
7:07 AM - 17 Jul 2015|My mouth is writing checks that my bank can't cash 
6:29 AM - 17 Jul 2015|Shouldn't members of the band Tool be required to drink screwdrivers 
6:21 AM - 17 Jul 2015|Lead singer of Tool found dead Does that mean his coffin is s Tool box 
6:14 AM - 17 Jul 2015|If you are correcting me because I say supper instead of dinner you have officially ran out of things to bitch about 
6:13 AM - 17 Jul 2015|I'm to the age where I start looking forward to my birthday dinner 5 months early 
8:24 PM - 16 Jul 2015|My CD just got released on iTunes Hope you guys enjoy it Straight Out of the Trailer Park by Chad Thornsberry https itun es us Szdh8 
10:26 AM - 16 Jul 2015|My CD Straight out of the Trailer Park drops on @iTunes tomorrow Check one out and I hope you enjoy it 
8:30 AM - 11 Jul 2015|Two shows tonight @funnyboneomaha Great lineup top to bottom Come out 
3:16 PM - 10 Jul 2015|I want to read about Bob Seger's Turn the Page as an ebook just for the sheer irony of it 
7:06 AM - 10 Jul 2015|Heard somebody refer to the Wayan's brothers comedy as genius Unless Einstein co-wrote Scary Movie 4 that's quite an overstatement 
6:25 AM - 10 Jul 2015|Kind of depressing when there are more different types of meats in the dog food than I have in my refrigerator 
6:20 AM - 10 Jul 2015|Two shows tonight @funnyboneomaha Come out for a good show this weekend 
6:08 AM - 4 Jul 2015|Gave a guy 2 bucks yesterday because he needed to catch the bus home Saw him 2 mins later who knew the bus stop was in the liquor store 
6:04 AM - 4 Jul 2015|Since we have stopped racism by not showing Dukes of Hazzard let's stop gun violence by eliminating old episodes of Gunsmoke 
10:02 AM - 3 Jul 2015|I'm guessing Joey Chestnut will eat 5 hot dogs tomorrow before I get pissed and ask Why is this on ESPN 
10:01 AM - 3 Jul 2015|This is the time of year where everyone gets reminded that Lee Greenwood is still alive 
9:30 AM - 2 Jul 2015|CD drops on iTunes on July 17 Preorder available now Thanks everybody 
1:56 PM - 1 Jul 2015|Start tomorrow @FunnyBoneLevee Hit me up for tickets and I'll see what I can do 
6:27 AM - 1 Jul 2015|If I had to write the Ten Commandments the 1st is Thou Shall not Kill The 2nd would be Don't switch the blade on the guy in shades 
10:12 AM - 28 Jun 2015|Wanted to thank @funnybonedm for another fun week in Des Moines Everything was great as usual See you next year 
10:06 AM - 26 Jun 2015|2 shows tonight @funnybonedm with the very funny Lachlan Patterson @lachjaw Shows at 7 30 and 9 45 Come check it out 
6:17 PM - 3 Apr 2013|Gilligan would have ruled on Survivor 
6:57 AM - 26 Jun 2015|Sitting at breakfast with a plate half full of bacon and half full of strawberries I like keeping my body guessing what the hell I'm doing 
10:43 AM - 25 Jun 2015|Call me what you want I dont care but when I remember my Asian neighbor saying he didnt believe in the Roch Ness Monster I always laugh 
10:39 AM - 25 Jun 2015|Wife said she needed to watch the 1st Magic Mike before she could watch part 2 Good idea I wouldnt want her lost in the intricate plotline 
10:22 AM - 25 Jun 2015|Show tonight at 730 with @lachjaw Lachlan Patterson @funnybonedm come check us out There isn't even a monsoon happening tonight 
10:20 AM - 25 Jun 2015|Saw that @Madonna was in a video with @NICKIMINAJ Sort of an old lioness new lioness kind of thing A passing of the skank 
10:03 AM - 21 Jun 2015|thug life drop the t son bring it here 
1:58 PM - 24 Jun 2015|Week starts tonight @Funnybonewdm with @lachjaw Come out Great shows 
12:01 PM - 19 Jun 2015|Looking forward to some comedy tonight Still some tix left so come join me for some drinks and laughs https twitter com clintbowyerauto status 611564044042919936 
4:12 AM - 18 Jun 2015|Lost my email password Trying to contact the @Cardinals They are pretty good at hacking into stuff 
6:10 PM - 15 Jun 2015|I could never be a police detective Because any time somebody would ask if I had an informer I would always reply a licky boom boom now 
6:43 AM - 12 Jun 2015|2 shows tonight @LoonyBinOKC with @BiscuitBoner Show times 8 and 1030 Come check us out 
6:51 AM - 11 Jun 2015|I know my country accent is too thick when somebody asks me if I could do an American accent too 
9:57 AM - 10 Jun 2015|RELEASE DATE my first nationally released CD Coming out of the trailer park will be released on ITunes on July 17th 
1:12 PM - 9 Jun 2015|If you try to catch a mouse and you are unsuccessful you're pretty much just feeding an unwanted pet 
10:56 AM - 30 May 2015|I wish I owned a flower shop So when I drove around in my flower shop van people would think I was an undercover police officer 
7:02 AM - 30 May 2015|Last two shows tonight @TulsaLoonyBin with @HippiemansPlan Great week so far Come out 
6:50 AM - 30 May 2015|Eventually someone will say well when I was a kid we had to use smartphones where it took us seconds to connect to anyone or anything 
11:08 PM - 29 May 2015|2 great shows tonight @TulsaLoonyBin with @HippiemansPlan Last 2 shows of the week tomorrow at 730 and 10 Don't miss out 
10:38 AM - 29 May 2015|Hey YARD SALE PEOPLE quit listing your son's little league uniform and a ball signed by all his 5th grade friends as sports memorabilia 
7:14 PM - 28 May 2015|@chadthornsberry awesome job tonight I come every week to the Tuls loony bin and I'd say your set is on my top 3 best ever list 
1:28 PM - 28 May 2015|I want to get to a point financially where I dont refer to my yard sale profits as life changing money 
1:23 PM - 28 May 2015|Show tonight @TulsaLoonyBin 730 show Working with @HippiemansPlan John Novosad Come check us out 
12:36 PM - 28 May 2015|In 50 years new comedians won't be sure if all the @garymenke stories are true or not He'll be the stand up comedy version of Keyser Soze 
7:38 AM - 26 May 2015|I fired one person from my one person show 
8:46 AM - 28 May 2015|I don't know why I check old birthday cards for money I have never forgot to cash a check in my life 
8:58 PM - 27 May 2015|Good show tonight @TulsaLoonyBin with John Novosad Going to be a fun week Come out thu-sat 
6:28 AM - 27 May 2015|I'm going to drive to places in the country that are having droughts and park my truck and leave the window down Guaranteed rain 
3:57 PM - 26 May 2015|Apparently going the extra mile doesn't count if you miss your turn and literally have to go extra miles 
8:14 AM - 23 May 2015|You can watch all the @XGames you want but the best skateboard trick ever is how Marty mcfly got to school 
9:19 AM - 22 May 2015|It seems like you're giving me a choice but you're not are you - me everyday as a married man 
10:07 AM - 18 May 2015|The best seat at a Nickelback concert is the front seat of my truck as I drive past the venue 
9:48 AM - 18 May 2015|I figured out my Sleep Number It's about 930 pm every night 
5:12 AM - 1 Feb 2015|everyone can always tell when I have a pair of face cards in poker because I rub them together and make kissing noises it's my tell 
2:22 PM - 15 May 2015|If I ever meet George Clooney I'm going to ask him what he's been up to since he stopped showing up on Roseanne 
2:21 PM - 15 May 2015|Went outside and my truck had a flat Insert @Patriots punchline here @nfl 
7:17 AM - 15 May 2015|2 shows tonight @stables_casino come check it out Then win big money at the slots 
5:08 AM - 11 May 2015|Sorry even though you tweet 30-40 times a day I'm pretty sure you don't get to call yourself an author 
7:46 PM - 10 May 2015|I don't believe we should kill all animals Only the ones that taste delicious 
6:56 AM - 9 May 2015|You know you've watched too much @lawandorder when you recognize extras on the show from other @lawandorder episodes 
6:33 AM - 9 May 2015|Made a checklist of things for my daughter to do around the house I listed them 1-6 She called me and asked why I listed it as hashtag 1 
6:32 AM - 9 May 2015|Buddy asked if I heard that Einstein developed a way to win at roulette I asked him if he knew that Einstein also dabbled in science 
10:16 AM - 1 May 2015|A guy told me he'd fight Mayweather for just 100 000 Stupid promoters could've saved a lot by booking Mayweather against this old fat guy 
6:20 AM - 9 May 2015|I have to buy a suit And I have to lose about 10 more pounds This is getting way too close to being an adult 
9:47 AM - 8 May 2015|How many times do I have to turn down @CandyCrushSaga until they figure out we aren't friends 
9:44 AM - 8 May 2015|Kind of sad when @tbsveryfunny shows @SeinfeldTV at 930 AM It's the greatest comedy of all time it's not Steve Wilkos @JerrySeinfeld 
5:19 AM - 7 May 2015|Marriage is about compromise A tuxedo in July while standing outside and smiling in pictures Thats as good as my compromising will ever be 
5:12 AM - 7 May 2015|Saw a guy on @espn won a bowling tournament with a 244 I can bowl a 122 I question a sports legitimacy when I'm half as good as a champion 
6:10 AM - 4 May 2015|1st picture is where I slept tue-sat 2nd pic is where I slept last night This is being on the road standup comedy pic twitter com wn2QXarH67 
2:19 PM - 2 May 2015|2 more chances to catch me with the very funny @bobmarleycomedy tonight @Hilarities 7 and 930 Don't miss us 
10:00 AM - 1 May 2015|Dear Random guy on Twitter thanks for the play by play @nfl draft last night @espn was doing a poor job covering it Glad you were there 
9:18 AM - 1 May 2015|You don't need to tweet in another language I've heard you talk Your English is confusing enough 
