7:27 AM - 11 Nov 2015|Daredevils are those who ride their bikes on colony streets on a Diwali night 
2:36 AM - 11 Feb 2014|Dear boys make vodafone 2g your girlfriend it sucks like anything X 
4:57 AM - 11 Feb 2014|Please ban Chetan Bhagat books where an engineer has sex with the Dean's daughter Forget Hinduism that's against mankind 
6:45 AM - 11 Feb 2014|Don't consult parents about valentines gift ideas In the end they will suggest you 'Lifafe main cash de do' 
11:19 AM - 9 Feb 2014|installed adblock plus and now twitter isn't loading 
1:25 AM - 8 Feb 2014|Hey retard couple when u ask me to click a pic you don't need to instruct me Iss button ko ek baar dabana ho jayega 
12:11 PM - 5 Feb 2014|grep was a private command of mine for quite a while before i made it public -Ken Thompson https medium com linux-operation-system a40e24a5ef48 
2:52 AM - 5 Feb 2014|Haha One of my friend's Facebook movie features her two ex-boyfreinds Her current boyfriend is furious now 
1:34 AM - 5 Feb 2014|Boss any idea how Bappi Lahiri walks through metal detectors at airports 
2:14 AM - 5 Feb 2014|Taran Adarsh has given the Facebook movie 5 stars 
10:11 AM - 4 Feb 2014|You're not really a Mario fan if you didn't at least once try to make that bird enter the tunnel in Flappy Bird 
10:17 AM - 4 Feb 2014|Most of a woman's life is a struggle with birth control in the earlier years and with girth control in the later 
10:45 AM - 4 Feb 2014|Did you hear about the JavaScript developer who had problems aiming their gun on CoD Scope issues 
10:23 AM - 4 Feb 2014|Pyaar hua ikrar hua hai One of the most romantic songs of one era became instant reminder for condoms in another 
9:17 AM - 4 Feb 2014|@NJPsychDoc The contrast between sexual Tension sexual Attention defines where your relationship is AT 
11:35 AM - 3 Feb 2014|But I know you ain't wearin' nothin' underneath that overcoat And it's all a show gulp Aerosmith 
12:13 PM - 3 Feb 2014|New twitter interface suffers from same critical flaw as old one it is filled with tweets 
11:48 PM - 1 Feb 2014|Working on a Sunday is as much fun as drinking with a friend who just broke up 
11:14 PM - 1 Feb 2014|When a planet gets hit on by a meteor their date is always remembered 
9:40 AM - 1 Feb 2014|#YouCanDateAnyGirl as long as you have a rope to tie her to a chair and 'TELL ME WE ARE A COUPLE SCREAM BITCH SAY THAT YOU LOVE ME' 
3:15 PM - 1 Feb 2014|So many books left to read songs to dance to places to visit Yet I read only you listen to my alter ego keep visiting my past 
7:39 PM - 30 Jan 2014|This dude keeps his eggs in the fridge in a box labeled with his name Andaas apna apna 
10:56 AM - 31 Jan 2014|I atleast expect Abhay Deol fans to write correct english in their comments 
9:21 AM - 30 Jan 2014|Scientists have discovered a new more aggressive species of Homo sapiens with prehistoric instincts They have been named the Homo AAPians 
3:09 AM - 30 Jan 2014|A smart bra that unhooks itself when it detects 'true love' http ibnlive in com news a-smart-bra-that-unhooks-itself-when-it-detects-true-love 448877-11 html 
4:47 PM - 29 Jan 2014|Windows 8 is Microsoft's second tragic attempt at design Their first was Comic Sans 
8:55 PM - 29 Jan 2014|Date a girl who reads Date a girl who writes Date a girl who travels MEH For Indian guys Date a girl who agrees to go out with you 
9:45 PM - 29 Jan 2014|The quote If someone slaps you on one cheek offer the other too is true coz I pressed 1 tit of a random woman and now my hands are full 
7:02 PM - 26 Jan 2014|Tere mere beech me kaisi hai ye doori guy wondering if he should have opted for extra thin condoms instead 
3:31 AM - 26 Jan 2014|Feeling sad for Wawrinka because all of his Indian fans today will be fans of whoever next plays Nadal in some other grand slam final 
4:46 AM - 26 Jan 2014|Only marathons I run are the tv show marathons p 
10:43 AM - 25 Jan 2014|Every happy ending is just a tragic story left untold 
3:22 PM - 25 Jan 2014|Spot the 8 8 Now fuck off 
6:48 PM - 25 Jan 2014|Valkyrie on Sony Pix Is it Germany's Republic Day too 
6:15 AM - 23 Jan 2014|Aashiqui 2 was a landmark film It shattered many long held beliefs Most of them being that Salman Khan fans don't have teenage kids 
1:27 AM - 23 Jan 2014|Shah Rukh Khan injured while shooting for film But that's nothing compared to the injuries his movies cause to the viewer's mind 
2:15 AM - 23 Jan 2014|Don't avoid cameras during your years in school or on vacation holiday You might not want to now but you'll appreciate it later 
3:23 AM - 23 Jan 2014|My favorite pic of Salman and Aamir pic twitter com b5uTVGLg4i 
5:57 AM - 23 Jan 2014|brb standing in front of a loudspeaker and facing the music 
11:20 PM - 22 Jan 2014|Facebook will survive in all LIKElihood 
8:26 PM - 20 Jan 2014|''We need a revolution but I need to be home by 11pm max'' 
8:07 AM - 19 Jan 2014|A girl's profile pic got only 7 likes She's in the ICU now 
9:08 AM - 19 Jan 2014|Minority status for Manchester United fans soon 
8:49 AM - 19 Jan 2014|What if the Beatles' Abbey Road CD cover was photographed on a random street in South India pic twitter com IuWzXQsb3g 
7:53 AM - 19 Jan 2014|Close enough pic twitter com VSDquBjOre 
5:47 AM - 16 Jan 2014|RT if you are fed up with all the AAP news on your timeline 
9:53 PM - 15 Jan 2014|Mother should I run for President Mother should I trust the Government Mother will they put me in the firing line Pink Floyd 
8:53 AM - 16 Jan 2014|Blogging was the earliest contraceptive 
9:10 AM - 26 Nov 2013|Ques What is common between an engineering student and a management student Ans Old Monk 
10:16 AM - 16 Jan 2014|At this point Atwood's Law should just be amended to read all applications will be written in Javascript 
12:36 PM - 16 Jan 2014|A has crush on B B on C C on D X on Y Y on Z Z on 1 1 on 2 and so on I am A in this case #ForeverLonelym 
1:44 AM - 12 Jan 2014|@samalmightysam Sometimes happiness comes in the form of exes getting really really fat 
1:57 PM - 6 Jan 2014|The moment a girl's giving you attention you're fucked 
3:34 AM - 4 Jan 2014|Ray with his viewfinder And what views he had pic twitter com f605wzEY3z 
10:27 AM - 4 Jan 2014|One Sanskaari friend is so good at numbers I call him Alok Math 
10:53 AM - 4 Jan 2014|Love is deep fried stuff Great for Soul Stressful for heart 
9:19 PM - 31 Dec 2013|RT if you last had a bath in 2013 
10:23 AM - 31 Dec 2013|Bum bhole 
12:09 AM - 26 Dec 2013|There is more brotherhood among smokers than jihadis 
11:23 PM - 11 Dec 2013|DO YOU WANT YOUR SON TO BE GAY Well I want him to be Superman but its not about what I want its about him What he likes 
4:27 PM - 3 Dec 2013|Programming in movies vs programming in real life https vine co v hPXTA6l9AqQ 
9:25 AM - 3 Dec 2013|On the 7th day God realised he had only tested Earth in Chrome 
10:36 PM - 10 Oct 2012|All in all Amitabh Bachchan is just Another Brick in Deewar 
10:22 AM - 1 Dec 2013|To an ant gravity is nothing but surface tension is a powerful force When you change scale you play by different rules 
10:04 PM - 14 Nov 2013|What do you do for a living I read I travel I love I laugh No How do you earn your bread Oh I work But that's not living 
6:45 AM - 17 Nov 2013|I don't mind lesbians actually They're still women who won't sleep with me but at least it's nothing personal 
5:20 AM - 17 Nov 2013|People still bursting crackers C'mon 
9:46 PM - 16 Nov 2013|When is MDH masala uncle's farewell 
7:43 AM - 12 Nov 2013|Being in relationship being in hospital is almost same thing in India Everyone asks Serious hai kya D 
12:27 PM - 13 Nov 2013|If BitStrips can come up with a template for a comic on your life then you don't have one 
5:01 PM - 11 Nov 2013|Early morning Kolkata update Mufflers galore Few half sweaters blinking here and there 
12:07 PM - 11 Nov 2013|Knock knock Race condition Who's there 
11:27 AM - 11 Nov 2013|First Tex Document Very Excited 
1:41 AM - 11 Nov 2013|My dear lady that animal is called dog Doggy is a position 
6:05 AM - 11 Nov 2013|Batman reached a whole new level with Nolan December reaches a whole new level with Nolen 
12:19 PM - 10 Nov 2013|Rakesh They don't believe me that I can communicate with the aliens Rekha Actually even I don't Par dharampatni hoon aapki 
11:41 AM - 10 Nov 2013|As per tv commercials every new sanitary napkin is revolutionary 
11:09 AM - 29 Sep 2013|Dear Inspirational tweeters If your life is so amazing why the fuck are you on here 
7:07 AM - 8 Nov 2013|He I like you more in Indian clothes She he thinks I am a behenji He You look better in Westerns She He only lusts for my body 
9:46 AM - 10 Nov 2013|Someday I would poignantly fall in love with a lady who would write to me everyday on the back of Restaurant Menu Cards 
2:38 AM - 9 Nov 2013|You know you're forever alone when you don't worry about your 'last seen at' on WhatsApp because no one gives a fuck about you anyway 
8:08 AM - 7 Nov 2013|Meanwhile Kapil Sibal is buying Twitter shares 
10:01 AM - 7 Nov 2013|Not sure if really born on 1st January 1970 or someone screwed up on timestamps 
12:17 AM - 8 Nov 2012|I prefer wearing full-sleeved shirts just so that I can roll them up before tackling any tough situation life puts me in 
12:31 PM - 5 Nov 2013|Don't tell me about patience I have watched porn on a dial-up connection 
2:20 AM - 5 Nov 2013|Instead of handing out presents this year Santa will be handing out Vim manuals because kids need to think of the future 
2:52 AM - 5 Nov 2013|I don't use Google I just ask Ruby developers they seem to know everything 
8:33 AM - 4 Nov 2013|Math humor isn't for everyone--thank goodness pic twitter com QTptyUUnOV 
8:40 AM - 4 Nov 2013|Engineering student stuns everyone by changing bed sheet on Diwali http www fakingnews firstpost com 2013 11 engineering-student-stuns-everyone-by-changing-bed-sheet-on-diwali by @kachcha_khiladi 
4:03 AM - 3 Nov 2013|Cricket ODI batting and the Indian film box office are going through the same process All the records seem to easily break every week 
7:52 PM - 11 Apr 2013|Welcome to Twitter We are the men and women behind your friend's funny Facebook statuses 
6:37 PM - 1 Nov 2013|@BideshiMod Thanks Avik - big credit goes to @knowkenny as the director 
1:40 PM - 22 Oct 2013|It is so easy to be a patriot a nationalist a citizen a volunteer activist when all you need is fingers and a twitter account 
4:59 AM - 1 Nov 2013|looks forward to long weekend at home for weeks gets home and spends all day watching TV 
8:05 PM - 31 Oct 2013|Politicians are a lot like students Next term se pakka I'll change and become better 
10:57 AM - 31 Oct 2013|During Diwali season Haldiram's should serve their Raj Kachori with a small bomb lighted inside It'd be fun will also help clear space 
11:30 AM - 31 Oct 2013|COSTUME IDEA Wrap a shawl around Wear a topi Cough Carry a Video Cassette in your hand Tell people you're dressed as a viral video 
11:27 AM - 31 Oct 2013|Most Indian marriages are second date 
1:11 AM - 31 Oct 2013|They should've released Ghoulmaal 4 on the occasion of Halloween 
1:18 PM - 22 Oct 2011|Who is Cron Daemon that keeps emailing you Is that your girlfriend -@stomayko 
11:07 AM - 30 Oct 2013|Girls just wanna have Fun and shoes and cake and clothes And skin lotion and 100 likes and body shop shampoo - Cindy Lauper 2013 
11:19 AM - 30 Oct 2013|New twitter app is really fluid 
9:24 AM - 28 Oct 2013|Interesting breakdown of some of the top grossing movies of 2013 See a pattern pic twitter com IuIJXQGMGr 
8:49 AM - 28 Oct 2013|Sir aap apni job rakh lijiye aur me apna attitude rakh leta hu comes home updates his FB page I WeAr mah AtTiTuDe crie 
9:14 AM - 28 Oct 2013|Just keep your usefulness to annoyance ratio above one 
7:59 AM - 28 Oct 2013|Let's make an ad where a dark divorcee woman who has an openly gay kid marries a Lower caste Autistic man from the same Gotra 
4:55 AM - 28 Oct 2013|How secret is this secret santa Can I tell my mom about it How else will I get money to buy the gift then 
12:30 PM - 27 Oct 2013|Anti-smoking ads instead of anti-murder anti-rape and anti-drug ads coz a guy smoking Gold Flake is obviously a bigger threat to society 
8:25 AM - 27 Oct 2013|Why would someone colour it yellow and name it komolabhog is a mystery which troubles me most 
1:07 AM - 26 Oct 2013|10 reasons why tech writing in India is crap @0__1 10 reasons why BBM can't beat WhatsApp any time soon http ow ly qa7jr 
11:24 AM - 25 Oct 2013|Never be ashamed of who you are Unless you're a guy who is pretending to be a girl on twitter 
9:53 AM - 23 Oct 2013|Bisexual n Definition The ability to reach down into someone's pants and be satisfied with whatever you find Via Tumblr 
10:17 AM - 23 Oct 2013|Extremely disappointed that none of the poshmaxx US based friends are listening to 'Tum toh thehre pardesi' on Spotify 
10:44 AM - 23 Oct 2013|Now a luxury mall for Kolkata Quest Mall at Amir Ali Avenue My proletariat heart skipped a beat pic twitter com MOQ6gl0MgZ 
3:50 AM - 23 Oct 2013|Why would you want to do this to yourself - person using Vim for the first time 
6:54 AM - 22 Oct 2013|Ladies' compartments in slow local trains are empty today All women are on Fast 
9:05 AM - 22 Oct 2013|Hahahahahhahahahahahaha owned This is the reply when one guy said he is been saving for a mac since 2010 Hhahah pic twitter com YEHRROYf0m 
10:34 AM - 6 Sep 2013|I hate dealing with middlemen during circumcisions All of them just want a cut 
2:55 AM - 21 Oct 2013|Jesus Facebook what the fuck pic twitter com ftiiCtlqoj 
4:21 AM - 21 Oct 2013|Chatting with a woman is like getting a crash course in WhatsApp emojis 
8:33 AM - 7 Apr 2013|I am sure Ishant Sharma has that one asshole friend who keeps telling him 'Lambe baalon main stud lagte ho bhai' 
12:13 AM - 21 Oct 2013|BREAKING Infosys trying to buy Booz Co to get a Day Zero slot at IIMs http my fakingnews firstpost com 2013 10 21 infosys-trying-to-buy-booz-co-to-get-a-day-zero-slot-at-iims 
1:05 PM - 13 Jul 2013|Oh they're just people with more followers NOT postal stamps buddy You can stop all the licking you know 
2:30 AM - 21 Oct 2013|i wish my eyes could take photos 
11:21 AM - 20 Oct 2013|Morning Walker in the mornings and Johnnie Walker at night isn't going to take you anywhere 
